OnsetTime	OffsetTime	MidiPitch
0.520993	0.572987	21
0.579988	0.633002	22
0.642993	0.687987	23
0.701975	0.754989	24
0.757979	0.810993	25
0.824981	0.870994	26
0.880986	0.933986	27
0.943991	0.993974	28
1.00398	1.04897	29
1.06296	1.11196	30
1.11896	1.17197	31
1.18197	1.23097	32
1.24197	1.29497	33
1.30197	1.34996	34
1.36397	1.40897	35
1.41996	1.47296	36
1.47996	1.53197	37
1.54296	1.58795	38
1.60196	1.65397	39
1.65797	1.70998	40
1.72396	1.76998	41
1.78097	1.83297	42
1.84698	1.89297	43
1.90297	1.94797	44
1.96196	2.01497	45
2.01796	2.07096	46
2.08498	2.13096	47
2.14097	2.19397	48
2.20097	2.25298	49
2.26396	2.30898	50
2.32297	2.37197	51
2.37897	2.43197	52
2.44198	2.49098	53
2.50198	2.55397	54
2.56097	2.60998	55
2.62497	2.66897	56
2.67997	2.73197	57
2.74598	2.79197	58
2.80296	2.84796	59
2.86197	2.91497	60
2.91798	2.96997	61
2.98399	3.03	62
3.03999	3.09299	63
3.09999	3.15299	64
3.163	3.20898	65
3.223	3.276	66
3.285	3.33098	67
3.345	3.394	68
3.401	3.454	69
3.461	3.513	70
3.524	3.57001	71
3.583	3.63301	72
3.646	3.69099	73
3.70199	3.751	74
3.76199	3.814	75
3.821	3.87	76
3.88402	3.92901	77
3.93999	3.992	78
4.00602	4.052	79
4.063	4.10799	80
4.12201	4.17501	81
4.185	4.23101	82
4.24401	4.29701	83
4.30001	4.35301	84
4.367	4.41301	85
4.42301	4.46902	86
4.47901	4.53602	87
4.54601	4.59101	88
4.60502	4.65402	89
4.66101	4.71403	90
4.72103	4.77302	91
4.78002	4.83603	92
4.84303	4.89203	93
4.90202	4.95103	94
4.96202	5.01103	95
5.02202	5.07403	96
5.08503	5.13002	97
5.14102	5.19702	98
5.20102	5.25202	99
5.26604	5.31202	100
5.32202	5.36803	101
5.38202	5.43503	102
5.44502	5.49104	103
5.50203	5.55703	104
5.56004	5.61304	105
5.62702	5.67304	106
5.68303	5.73203	107
5.73903	5.79203	108
5.79903	5.85104	108
5.86204	5.91405	107
5.92103	5.97304	106
5.98404	6.03304	105
6.04404	6.09304	104
6.10004	6.15305	103
6.16305	6.21103	102
6.22203	6.27104	101
6.28104	6.33404	100
6.34504	6.39003	99
6.40103	6.45302	98
6.46002	6.51302	97
6.52303	6.57203	96
6.58202	6.63504	95
6.64203	6.69504	94
6.70503	6.75104	93
6.76104	6.81304	92
6.82104	6.87404	91
6.88304	6.93204	90
6.94304	6.99604	89
7.00304	7.05204	88
7.06205	7.11105	87
7.12205	7.17404	86
7.17705	7.23305	85
7.24405	7.29305	84
7.30405	7.35606	83
7.36304	7.41206	82
7.42305	7.46906	81
7.48205	7.53406	80
7.53806	7.59406	79
7.60405	7.65007	78
7.66406	7.71306	77
7.72006	7.77306	76
7.78406	7.83207	75
7.84206	7.89506	74
7.89806	7.95506	73
7.96206	8.01107	72
8.02107	8.07407	71
8.08107	8.13008	70
8.14307	8.19208	69
8.20307	8.25607	68
8.25908	8.31508	67
8.32207	8.37109	66
8.38207	8.43508	65
8.43807	8.49008	64
8.5041	8.54909	63
8.56009	8.61608	62
8.62009	8.67208	61
8.68308	8.72807	60
8.74307	8.79407	59
8.79808	8.85008	58
8.86409	8.91008	57
8.92107	8.97308	56
8.98008	9.03308	55
9.04307	9.08807	54
9.10309	9.15107	53
9.15807	9.21107	52
9.22108	9.27106	51
9.28107	9.33407	50
9.34107	9.39007	49
9.40406	9.44905	48
9.45906	9.51206	47
9.51906	9.57206	46
9.58205	9.63105	45
9.64205	9.69406	44
9.70506	9.75005	43
9.76504	9.80905	42
9.82003	9.87204	41
9.88003	9.93204	40
9.94304	9.99204	39
10.002	10.054	38
10.059	10.11	37
10.1241	10.17	36
10.18	10.233	35
10.2401	10.2931	34
10.303	10.3491	33
10.3621	10.4111	32
10.4181	10.4711	31
10.481	10.5311	30
10.541	10.5941	29
10.6041	10.6501	28
10.6641	10.7101	27
10.7231	10.7721	26
10.7791	10.8311	25
10.8421	10.8881	24
10.9021	10.9541	23
10.9581	11.0101	22
11.0251	11.0691	21
