OnsetTime	OffsetTime	MidiPitch
0.516996	0.613985	21
0.627999	0.725994	22
0.736991	0.838996	23
0.848987	0.945989	24
0.956986	1.05898	25
1.06897	1.16797	26
1.18198	1.27897	27
1.28898	1.38798	28
1.39797	1.49697	29
1.51096	1.60796	30
1.61796	1.71995	31
1.73095	1.82895	32
1.83595	1.93994	33
1.94395	2.04894	34
2.05593	2.16193	35
2.16493	2.26892	36
2.27592	2.37791	37
2.38491	2.48692	38
2.4979	2.5949	39
2.60892	2.70691	40
2.71791	2.81591	41
2.82591	2.9239	42
2.93789	3.0359	43
3.0469	3.1479	44
3.15888	3.25588	45
3.26688	3.36888	46
3.37887	3.47788	47
3.49186	3.58887	48
3.59986	3.69786	49
3.70786	3.80985	50
3.82085	3.91785	51
3.92885	4.02985	52
4.03683	4.13884	53
4.14483	4.25083	54
4.25383	4.35882	55
4.36582	4.47082	56
4.47782	4.57981	57
4.58981	4.6848	58
4.69882	4.79582	59
4.8068	4.90481	60
4.9188	5.01681	61
5.02779	5.12879	62
5.13579	5.23779	63
5.24779	5.34578	64
5.35979	5.45779	65
5.46778	5.56678	66
5.5808	5.67879	67
5.68878	5.78978	68
5.80078	5.89878	69
5.90977	6.01077	70
6.01877	6.11877	71
6.12976	6.22776	72
6.23476	6.34076	73
6.34775	6.44775	74
6.45474	6.56074	75
6.56375	6.67274	76
6.67673	6.78074	77
6.78772	6.88573	78
6.89671	6.99472	79
7.00871	7.10571	80
7.11671	7.2147	81
7.22872	7.32772	82
7.33771	7.43871	83
7.4487	7.5477	84
7.55769	7.65669	85
7.67071	7.76771	86
7.7777	7.8767	87
7.89069	7.9887	88
7.99969	8.09969	89
8.11068	8.20868	90
8.21968	8.32167	91
8.33167	8.42867	92
8.43566	8.53766	93
8.54467	8.65065	94
8.65765	8.76164	95
8.76864	8.87065	96
8.87364	8.98164	97
8.98563	9.08363	98
9.09764	9.19564	99
9.20663	9.30364	100
9.31863	9.41663	101
9.42663	9.52462	102
9.53861	9.63761	103
9.65163	9.74862	104
9.75961	9.85762	105
9.86761	9.96661	106
9.9806	10.0776	107
10.0886	10.1866	108
10.2006	10.2986	108
10.3116	10.4106	107
10.4206	10.5186	106
10.5326	10.6316	105
10.6336	10.7396	104
10.7496	10.8476	103
10.8616	10.9596	102
10.9676	11.0716	101
11.0786	11.1806	100
11.1876	11.2926	99
11.2966	11.4006	98
11.4075	11.5125	97
11.5166	11.6185	96
11.6275	11.7265	95
11.7405	11.8385	94
11.8495	11.9465	93
11.9605	12.0555	92
12.0695	12.1675	91
12.1785	12.2785	90
12.2895	12.3875	89
12.4015	12.5005	88
12.5105	12.6085	87
12.6225	12.7205	86
12.7305	12.8295	85
12.8395	12.9365	84
12.9505	13.0495	83
13.0635	13.1615	82
13.1685	13.2695	81
13.2765	13.3815	80
13.3855	13.4905	79
13.4975	13.6015	78
13.6055	13.7145	77
13.7175	13.8165	76
13.8265	13.9275	75
13.9375	14.0365	74
14.0505	14.1485	73
14.1595	14.2565	72
14.2675	14.3685	71
14.3794	14.4774	70
14.4884	14.5894	69
14.5994	14.6974	68
14.7114	14.8104	67
14.8204	14.9174	66
14.9324	15.0304	65
15.0404	15.1394	64
15.1494	15.2504	63
15.2614	15.3594	62
15.3664	15.4714	61
15.4784	15.5794	60
15.5864	15.6914	59
15.6954	15.8004	58
15.8074	15.9124	57
15.9194	16.0174	56
16.0274	16.1264	55
16.1404	16.2374	54
16.2484	16.3494	53
16.3604	16.4584	52
16.4694	16.5703	51
16.5773	16.6783	50
16.6893	16.7873	49
16.8014	16.8993	48
16.9093	17.0073	47
17.0213	17.1193	46
17.1303	17.2313	45
17.2423	17.3403	44
17.3543	17.4523	43
17.4593	17.5603	42
17.5673	17.6693	41
17.6763	17.7813	40
17.7883	17.8863	39
17.8963	18.0023	38
18.0093	18.1143	37
18.1163	18.2153	36
18.2293	18.3273	35
18.3383	18.4363	34
18.4493	18.5473	33
18.5583	18.6602	32
18.6703	18.7673	31
18.7782	18.8802	30
18.8902	18.9892	29
18.9992	19.0962	28
19.1102	19.2092	27
19.2192	19.3182	26
19.3322	19.4292	25
19.4392	19.5412	24
19.5522	19.6502	23
19.6612	19.7612	22
19.7652	19.8702	21
