OnsetTime	OffsetTime	MidiPitch
0.521985	0.815982	21
0.829997	1.13098	22
1.13798	1.43898	23
1.44998	1.74696	24
1.75796	2.06198	25
2.06896	2.36696	26
2.37696	2.68197	27
2.68496	2.98898	28
2.99997	3.30096	29
3.30796	3.60895	30
3.62294	3.91694	31
3.93095	4.23194	32
4.24194	4.53994	33
4.54993	4.85093	34
4.85793	5.15992	35
5.17291	5.46691	36
5.47791	5.7799	37
5.79388	6.08788	38
6.1019	6.40189	39
6.40988	6.7099	40
6.72389	7.01788	41
7.02888	7.32988	42
7.34387	7.63786	43
7.65188	7.95286	44
7.95986	8.26086	45
8.27085	8.56885	46
8.57885	8.88386	47
8.89385	9.18785	48
9.20183	9.50283	49
9.50683	9.81084	50
9.82183	10.1188	51
10.1298	10.4298	52
10.4408	10.7378	53
10.7488	11.0538	54
11.0568	11.3608	55
11.3718	11.6688	56
11.6758	11.9818	57
11.9908	12.2888	58
12.2998	12.6008	59
12.6078	12.9088	60
12.9198	13.2168	61
13.2278	13.5318	62
13.5428	13.8398	63
13.8497	14.1507	64
14.1577	14.4587	65
14.4727	14.7667	66
14.7807	15.0787	67
15.0927	15.3867	68
15.4007	15.7017	69
15.7087	16.0097	70
16.0237	16.3177	71
16.3277	16.6287	72
16.6427	16.9367	73
16.9507	17.2517	74
17.2587	17.5597	75
17.5697	17.8677	76
17.8777	18.1787	77
18.1927	18.4877	78
18.5007	18.8017	79
18.8096	19.1096	80
19.1206	19.4156	81
19.4296	19.7336	82
19.7396	20.0386	83
20.0486	20.3536	84
20.3566	20.6616	85
20.6716	20.9686	86
20.9796	21.2806	87
21.2906	21.5886	88
21.5986	21.9036	89
21.9066	22.2116	90
22.2216	22.5156	91
22.5266	22.8306	92
22.8416	23.1386	93
23.1496	23.4506	94
23.4576	23.7586	95
23.7685	24.0665	96
24.0765	24.3775	97
24.3915	24.6855	98
24.6995	25.0005	99
25.0075	25.3085	100
25.3225	25.6175	101
25.6305	25.9325	102
25.9425	26.2365	103
26.2505	26.5515	104
26.5585	26.8595	105
26.8695	27.1675	106
27.1785	27.4795	107
27.4935	27.7875	108
27.8015	28.1015	108
28.1095	28.4095	107
28.4205	28.7144	106
28.7285	29.0295	105
29.0395	29.3374	104
29.3474	29.6524	103
29.6554	29.9605	102
29.9704	30.2644	101
30.2784	30.5794	100
30.5904	30.8874	99
30.8984	31.2024	98
31.2064	31.5104	97
31.5214	31.8214	96
31.8254	32.1294	95
32.1404	32.4414	94
32.4484	32.7494	93
32.7634	33.0584	92
33.0714	33.3733	91
33.3833	33.6813	90
33.6913	33.9923	89
33.9993	34.3003	88
34.3143	34.6083	87
34.6193	34.9203	86
34.9343	35.2273	85
35.2423	35.5423	84
35.5493	35.8503	83
35.8613	36.1583	82
36.1693	36.4733	81
36.4843	36.7783	80
36.7923	37.0933	79
37.1003	37.4013	78
37.4113	37.7093	77
37.7193	38.0243	76
38.0313	38.3283	75
38.3393	38.6443	74
38.6473	38.9522	73
38.9622	39.2602	72
39.2702	39.5702	71
39.5822	39.8792	70
39.8902	40.1942	69
40.1982	40.5022	68
40.5132	40.8102	67
40.8172	41.1222	66
41.1322	41.4302	65
41.4402	41.7412	64
41.7482	42.0492	63
42.0602	42.3572	62
42.3712	42.6722	61
42.6862	42.9801	60
42.9902	43.2911	59
43.2981	43.5991	58
43.6131	43.9071	57
43.9211	44.2191	56
44.2331	44.5271	55
44.5411	44.8421	54
44.8491	45.1501	53
45.1641	45.4581	52
45.4721	45.7691	51
45.7831	46.0781	50
46.0911	46.3931	49
46.4001	46.7001	48
46.7111	47.0051	47
47.0181	47.3201	46
47.334	47.6321	45
47.639	47.9431	44
47.9471	48.251	43
48.262	48.559	42
48.57	48.871	41
48.881	49.179	40
49.189	49.494	39
49.497	49.801	38
49.812	50.109	37
50.12	50.421	36
50.431	50.729	35
50.739	51.04	34
51.047	51.348	33
51.362	51.656	32
51.667	51.971	31
51.982	52.279	30
52.29	52.5919	29
52.5979	52.9	28
52.9139	53.2069	27
53.2219	53.5219	26
53.5329	53.8269	25
53.8409	54.1419	24
54.1489	54.4499	23
54.4639	54.7579	22
54.7719	55.0729	21
