OnsetTime	OffsetTime	MidiPitch
0.524989	0.877981	58
0.878987	1.23198	59
1.23299	1.52598	58
1.52898	1.82298	59
1.82398	2.07098	58
2.07598	2.32098	59
2.32399	2.52998	58
2.52998	2.74398	59
2.74697	2.92298	58
2.92298	3.09398	59
3.09498	3.24498	58
3.24798	3.39498	59
3.39599	3.517	58
3.51799	3.64699	59
3.64699	3.74799	58
3.74898	3.85298	59
3.85698	3.94099	58
3.94099	4.02798	59
4.02899	4.10499	58
4.10598	4.17898	59
4.17898	4.24598	58
4.24598	4.30898	59
4.30898	4.36098	58
4.36199	4.40997	59
4.41297	4.45197	58
4.45496	4.49697	59
4.50096	4.53296	58
4.53296	4.57497	59
4.57497	4.60297	58
4.60297	4.63396	59
