OnsetTime	OffsetTime	MidiPitch
0.51599	0.868996	73
0.869988	1.22299	75
1.22399	1.51998	73
1.52099	1.81798	75
1.81898	2.06599	73
2.06698	2.31499	75
2.31499	2.52499	73
2.52599	2.742	75
2.74299	2.91399	73
2.91499	3.09499	75
3.096	3.23898	73
3.23898	3.38899	75
3.38999	3.51199	73
3.51299	3.63799	75
3.64199	3.74298	73
3.74399	3.84798	75
3.84899	3.93598	73
3.93598	4.02598	75
4.02999	4.09599	73
4.09999	4.17298	75
4.17398	4.23999	73
4.23999	4.30298	75
4.30298	4.35198	73
4.35599	4.40398	75
4.40797	4.44598	73
4.44998	4.49197	75
4.49297	4.53397	73
4.53496	4.56896	75
4.56896	4.59696	73
4.59696	4.63196	75
