OnsetTime	OffsetTime	MidiPitch
0.516996	0.869988	91
0.870994	1.22399	93
1.22399	1.52099	91
1.52198	1.81498	93
1.81598	2.06698	91
2.06798	2.31598	93
2.31598	2.52899	91
2.52899	2.73899	93
2.744	2.91499	91
2.91499	3.09299	93
3.096	3.24	91
3.24	3.39001	93
3.391	3.516	91
3.52	3.63901	93
3.64301	3.744	91
3.745	3.85199	93
3.856	3.943	91
3.944	4.027	93
4.028	4.104	91
4.105	4.18099	93
4.18099	4.24099	91
4.24099	4.3	93
4.304	4.353	91
4.356	4.40501	93
4.406	4.45099	91
4.454	4.493	93
4.49399	4.53499	91
4.53499	4.56699	93
4.56999	4.59799	91
4.59799	4.63199	93
