OnsetTime	OffsetTime	MidiPitch
0.521985	6.70698	62
1.37998	5.74398	61
2.24099	6.73098	60
3.11499	6.73098	57
4.02198	6.73098	54
4.93898	5.78197	50
5.78298	5.85598	53
5.85697	6.73098	51
6.70698	7.08198	62
6.70998	7.47598	50
7.08198	7.20698	62
7.20698	7.47398	62
7.47297	8.21896	67
7.47398	8.21896	58
7.47398	8.21896	62
7.47598	8.22897	50
7.47598	8.22897	43
7.47998	8.23297	55
7.97798	8.23297	69
8.23297	9.00397	66
8.23597	9.00397	63
8.23597	9.00397	70
8.23696	9.00296	43
8.23997	9.00397	60
8.74397	9.00397	69
9.00096	9.78397	62
9.00197	9.52796	67
9.00296	9.78597	43
9.00296	9.78996	58
9.52796	9.78996	67
9.78297	10.155	60
9.78397	10.154	62
9.78597	10.55	43
9.78697	10.553	57
9.78697	10.55	50
10.154	10.283	62
10.155	10.28	60
10.28	10.553	60
10.283	10.55	62
10.546	11.2809	58
10.547	11.2809	67
10.55	11.2809	62
10.55	11.2949	50
10.55	11.2959	43
10.551	11.2959	55
11.0439	11.2979	69
11.2989	12.0759	63
11.2989	12.0759	66
11.3019	12.0759	70
11.3029	12.0759	60
11.3029	12.0729	43
11.8099	12.0759	69
12.0719	12.7339	62
12.0729	12.6009	67
12.0729	12.8629	43
12.0729	12.8629	58
12.6009	12.8629	67
12.8669	13.2449	58
12.8669	13.2489	62
12.8669	13.6609	54
12.8679	13.6609	42
13.2449	13.3819	58
13.2489	13.3809	62
13.3809	13.6609	62
13.3819	13.6569	58
13.6569	14.4519	58
13.6579	14.1829	65
13.6579	15.2849	41
13.6579	14.4689	50
14.1829	14.4729	65
14.4729	15.2849	57
14.4729	15.2849	65
14.4769	15.2849	51
15.0019	15.2849	62
15.2809	16.0909	53
15.2819	15.8179	58
15.2819	16.0899	46
15.2849	16.0909	50
15.8179	16.0869	58
16.0869	16.4789	58
16.0899	16.8989	55
16.0899	16.8989	39
16.0899	16.8989	46
16.4789	16.8959	58
16.6149	16.8989	60
16.8949	17.7189	53
16.8959	17.7189	62
16.8959	17.7179	58
16.8979	17.7189	34
16.8989	17.7179	46
17.7149	18.5199	54
17.7179	18.1069	58
17.7179	18.5199	39
17.7179	18.5189	46
18.1069	18.5159	58
18.2329	18.5199	60
18.5149	19.2749	62
18.5159	19.2749	53
18.5159	19.2749	58
18.5189	19.2959	34
18.5189	19.2959	46
19.0309	19.2969	65
19.2999	20.0839	63
19.2999	20.0839	57
19.3009	20.0839	67
19.3009	20.0839	48
19.3029	20.0839	41
19.8139	20.0839	65
20.0819	20.9589	62
20.0829	20.9589	53
20.0839	20.9309	58
20.0839	20.9589	46
20.6329	20.9589	60
20.9269	21.5119	55
20.9309	21.3549	58
20.9309	21.8129	39
20.9319	21.8129	51
21.3549	21.8129	58
21.5119	21.8129	60
21.5119	21.8129	55
21.5129	21.8129	45
21.8059	24.2069	57
21.8069	24.2069	54
21.8089	24.2109	62
21.8099	24.2109	38
21.8099	24.2109	50
24.2119	24.5839	74
24.5839	24.7049	74
24.7049	24.9739	74
24.9739	25.7189	74
24.9739	25.7189	70
24.9749	25.7189	79
24.9759	25.7329	55
24.9769	25.7339	67
24.9769	25.7339	62
25.4809	25.7359	81
25.7359	26.5139	75
25.7369	26.5139	78
25.7399	26.5139	82
25.7409	26.5099	55
25.7409	26.5139	72
26.2469	26.5139	81
26.5099	27.1949	74
26.5099	27.0349	79
26.5099	27.2909	55
26.5109	28.0509	70
27.0349	28.0499	79
27.2859	27.6549	72
27.2869	27.6579	74
27.2899	28.0529	62
27.2899	28.0529	69
27.2909	28.0509	55
27.6549	27.7849	72
27.6579	27.7839	74
27.7839	28.0509	74
27.7849	28.0529	72
28.0499	28.7838	79
28.0509	28.7838	74
28.0509	28.7838	70
28.0509	28.8019	55
28.0529	28.8029	67
28.0529	28.8049	62
28.5449	28.8059	81
28.8059	29.5829	78
28.8099	29.5829	75
28.8119	29.5829	82
28.8129	29.5798	55
28.8129	29.5829	72
29.3129	29.5829	81
29.5789	30.3528	74
29.5798	30.1078	79
29.5798	30.3628	55
29.5829	30.3668	70
30.1078	30.3668	79
30.3668	30.7518	70
30.3708	30.7488	74
30.3708	31.1618	66
30.3708	31.1618	54
30.7488	30.8858	74
30.7518	30.8848	70
30.8848	31.1578	70
30.8858	31.1618	74
31.1578	31.9558	70
31.1578	31.6898	77
31.1608	32.7928	53
31.1618	31.9728	62
31.6898	31.9728	77
31.9738	32.7928	69
31.9768	32.7928	77
31.9768	32.7928	63
32.5028	32.7888	70
32.7888	33.5968	65
32.7888	33.3208	70
32.7898	33.5968	62
32.7918	33.5968	58
33.3208	33.5898	70
33.5898	34.4028	67
33.5898	33.9828	70
33.5908	34.4028	63
33.5938	34.4028	51
33.9828	34.4018	70
34.1218	34.4028	72
34.3978	35.2218	65
34.3988	35.2218	74
34.4018	35.2188	70
34.4028	35.2218	46
34.4028	35.2218	58
35.2178	36.0228	66
35.2188	35.6068	70
35.2218	36.0228	51
35.2218	36.0218	58
35.6068	36.0198	70
35.7398	36.0228	72
36.0158	36.7788	74
36.0188	36.7788	65
