OnsetTime	OffsetTime	MidiPitch
0.519987	1.50299	63
0.520993	1.504	58
0.520993	1.504	51
0.523983	1.504	55
1.50699	2.519	58
1.50799	2.51999	62
1.50799	2.51999	53
1.50799	2.51999	46
2.52199	3.562	57
2.52299	3.562	60
2.52299	3.56499	53
2.52599	3.56499	41
3.566	4.58399	58
3.56899	4.58399	62
3.57	4.587	46
3.57	4.587	53
4.587	5.63	58
4.59099	5.63099	55
4.59099	5.63099	51
4.592	5.634	39
5.634	6.68001	60
5.634	6.681	56
5.635	6.681	44
5.635	6.684	51
6.684	7.755	56
6.684	7.755	62
6.68699	7.75599	41
6.688	7.75599	46
7.75799	8.82898	55
7.75899	8.82898	63
7.75899	8.82999	39
7.76198	8.82999	46
8.83198	11.409	39
8.92798	11.409	46
9.01899	11.409	51
9.11999	11.409	55
9.21098	11.409	58
9.30598	11.409	63
9.38999	9.75	67
9.48399	9.667	70
9.57199	9.925	75
9.667	9.838	70
9.75	11.409	67
9.838	11.409	70
9.925	11.409	75
10.006	11.409	79
10.093	11.409	82
10.181	11.409	87
10.268	11.409	91
10.367	11.409	94
10.471	11.451	99
11.455	12.486	63
11.455	12.487	60
11.456	12.487	55
11.456	12.488	48
12.49	13.508	63
12.491	13.509	60
12.491	13.509	56
12.493	13.51	44
13.512	14.555	58
13.513	14.556	43
13.513	14.559	51
14.56	15.591	53
14.562	15.591	58
14.563	15.592	46
14.563	15.595	38
15.595	16.659	51
15.596	16.659	55
15.596	16.66	39
15.598	16.663	46
16.663	17.708	58
16.664	17.712	55
16.666	17.713	40
16.666	17.713	49
17.713	18.787	56
17.715	18.79	53
17.716	18.79	48
17.716	18.245	41
18.245	18.794	44
18.794	19.84	51
18.795	19.84	55
18.797	19.841	36
18.797	19.844	48
19.844	22.378	36
19.939	22.378	48
20.034	22.378	51
20.131	22.378	55
20.219	22.378	60
20.31	22.378	63
20.405	20.761	67
20.499	20.671	72
20.583	20.94	75
20.671	20.845	72
20.761	22.378	67
20.845	22.378	72
20.94	22.378	75
21.02	22.378	79
21.104	22.378	84
21.192	22.378	87
21.258	22.378	91
21.328	22.378	96
21.401	22.378	99
21.482	22.466	103
22.466	23.519	55
22.467	23.519	51
22.469	22.99	48
22.994	23.523	46
23.523	24.531	60
23.526	24.531	56
23.526	24.532	44
23.526	24.534	51
24.534	25.58	60
24.534	25.584	56
24.537	25.584	41
24.538	25.585	50
25.585	26.616	58
25.587	26.617	43
25.588	26.617	51
26.617	27.667	56
26.62	27.667	62
26.62	27.668	53
26.621	27.668	47
27.67	28.716	63
27.67	28.717	55
27.671	28.717	51
27.671	28.72	48
28.72	29.791	60
28.72	29.792	57
28.721	29.792	41
28.724	29.794	51
29.795	30.858	58
29.795	30.858	50
29.796	30.859	46
30.862	33.226	46
30.95	33.226	53
31.052	33.226	58
31.143	33.226	62
31.237	33.226	65
31.328	33.226	70
31.423	31.776	74
31.509	31.689	77
31.601	31.951	82
31.689	31.863	77
31.776	33.226	74
31.863	33.226	77
31.951	33.226	82
32.042	33.226	86
32.15	33.226	89
32.255	33.226	94
33.221	34.253	63
33.225	34.254	60
33.225	34.254	48
33.225	34.256	55
34.257	35.282	62
34.26	35.283	58
34.261	35.283	43
34.261	35.286	55
35.287	36.343	60
35.287	36.343	56
35.287	36.346	44
35.289	36.346	51
36.347	37.4	55
36.35	37.404	58
36.351	37.404	51
36.351	37.404	39
37.405	38.45	55
37.407	38.454	49
37.407	38.454	40
38.454	38.979	53
38.455	38.979	56
38.457	39.507	41
38.457	39.508	48
38.982	39.508	55
39.511	40.567	53
39.511	40.571	50
39.515	40.572	34
