OnsetTime	OffsetTime	MidiPitch
0.519987	1.36799	44
0.523983	0.957992	49
0.954988	1.57899	54
0.955994	1.57899	58
0.957992	1.36799	49
1.36799	1.79199	44
1.36799	1.57798	49
1.57798	1.79398	49
1.57899	1.79499	54
1.57899	1.79499	58
1.79199	2.62399	44
1.79398	2.21099	49
2.20899	2.83098	54
2.20999	2.82999	61
2.21099	2.83098	58
2.21099	2.62399	49
2.62399	2.86199	44
2.62399	2.83098	49
2.82999	3.04098	61
2.83098	3.04499	58
2.83098	3.04499	54
2.83098	3.04499	49
3.04699	3.89198	44
3.04798	3.47498	49
3.47399	4.09697	53
3.47498	4.09697	56
3.47498	3.89497	49
3.89198	4.28298	44
3.89497	4.09497	49
4.09497	4.31498	49
4.09697	4.31498	53
4.09697	4.31597	56
4.31597	5.14798	44
4.31898	4.73397	49
4.73397	5.14897	49
4.73497	5.34797	61
4.73497	5.34996	53
5.14798	5.38497	44
5.14897	5.35097	49
5.34797	5.56097	61
5.34996	5.56398	53
5.35097	5.56398	49
5.56497	6.41098	44
5.56497	5.99898	49
5.99898	6.41498	49
6.00198	6.62198	54
6.00198	6.62097	51
6.41098	6.78597	44
6.41498	6.62198	49
6.62097	6.82397	51
6.62198	6.82797	49
6.62198	6.82896	54
6.83096	7.66796	44
6.83096	7.25496	49
7.25196	7.87096	61
7.25396	7.86896	54
7.25496	7.87096	51
7.25496	7.66796	49
7.66796	7.93795	44
7.66796	7.87096	49
7.86896	8.08096	54
7.87096	8.08196	61
7.87096	8.08196	51
7.87096	8.08396	49
8.08396	8.97796	44
8.08496	8.53296	49
8.52997	9.43195	61
8.52997	9.42896	53
8.53296	8.97996	49
8.97796	9.88995	44
8.97996	9.43296	49
9.42896	10.343	53
9.43195	10.3419	61
9.43296	9.89095	49
9.88995	10.8079	44
9.89095	10.343	49
10.3419	10.8839	61
10.343	10.8839	53
10.343	10.8079	49
10.8079	11.7459	44
10.8079	11.2759	49
11.2759	11.7489	49
11.2769	12.2399	61
11.2769	12.2409	53
11.7459	12.7619	44
11.7489	12.2419	49
12.2399	15.7769	61
12.2409	15.7769	53
12.2419	12.7639	49
12.7619	15.7769	44
12.7639	15.7769	49
16.1269	16.3399	54
16.1279	16.3409	58
16.1309	16.9759	44
16.1319	16.9779	49
16.5609	17.8209	54
16.5609	17.8219	58
16.5649	17.1849	56
16.9749	17.3969	60
16.9759	17.2829	44
16.9779	17.2829	49
17.1849	17.3979	56
17.3979	17.6049	63
17.4019	18.2379	44
17.4019	18.2379	49
17.8249	18.6509	58
17.8249	18.6509	54
17.8259	18.5419	63
17.8279	18.4409	56
18.2359	18.6549	60
18.2379	18.5419	44
