OnsetTime	OffsetTime	MidiPitch
0.525982	3.32908	36
0.525982	0.613985	48
0.613985	3.22808	48
0.693995	3.13408	55
0.783004	0.957013	60
0.869009	2.95208	64
0.957013	2.86807	60
1.04502	2.77307	67
1.13201	1.30003	72
1.21602	2.59407	76
1.30003	2.50706	72
1.38803	2.42708	79
1.47503	1.64704	84
1.55904	2.25206	88
1.64704	2.16406	84
1.73504	2.07806	91
1.82105	1.99005	96
1.90905	3.25309	100
1.99005	3.25309	96
2.07806	3.25309	91
2.16406	2.34007	84
2.25206	3.25309	88
2.34007	3.25309	84
2.42708	3.25309	79
2.50706	2.68607	72
2.59407	3.25309	76
2.68607	3.25309	72
2.77307	3.25309	67
2.86807	3.04709	60
2.95208	3.25309	64
3.04709	3.25309	60
3.13408	3.25309	55
3.22808	3.33009	48
3.33308	4.75111	29
3.33408	4.7541	41
3.41707	4.63109	48
3.50507	4.63109	57
3.59608	3.77409	60
3.68707	4.63109	65
3.77409	4.63109	60
3.85507	4.63109	69
3.94608	4.12108	72
4.03308	4.63109	77
4.12108	4.63109	72
4.20909	4.63109	81
4.30209	4.4781	84
4.38709	4.63109	89
4.4781	4.63109	84
4.5681	4.6601	93
4.66109	4.7541	96
4.75809	6.07715	100
4.75809	6.16815	30
4.7591	6.16915	42
4.8391	6.07715	96
4.92609	6.07715	93
5.0171	5.1891	84
5.1011	6.07715	88
5.1891	6.07715	84
5.27611	6.07715	81
5.36311	5.53911	72
5.45111	6.07715	76
5.53911	6.07715	72
5.62712	6.07715	69
5.71013	5.88513	60
5.79814	6.07715	62
5.88513	6.07715	60
5.97314	6.07715	57
6.06015	6.17115	48
6.17214	7.57518	31
6.17614	7.57518	43
6.26315	7.57518	47
6.35015	7.57518	55
6.43815	6.61616	59
6.52216	7.57518	62
6.61616	7.57518	59
6.70416	7.57518	67
6.79216	6.97017	71
6.88216	7.57518	74
6.88317	7.57518	30
6.88317	7.57518	42
6.97017	7.57518	71
7.06517	7.57518	79
7.15818	7.34417	83
7.25318	7.57518	86
7.25417	7.62818	28
7.25417	7.62818	40
7.34417	7.57518	83
7.43617	7.57518	91
7.53418	7.62917	93
7.62917	8.96121	98
7.63117	9.0692	26
7.63117	9.0702	38
7.71618	8.96121	93
7.80718	8.96121	90
7.89518	8.96121	84
7.98819	8.96121	86
8.07319	8.96121	81
8.1672	8.96121	78
8.2542	8.96121	72
8.3492	8.96121	74
8.44019	8.96121	69
8.5282	8.96121	66
8.61521	8.96121	60
8.70621	8.96121	62
8.80021	8.96121	57
8.88822	8.9792	54
8.9792	9.07319	48
9.0742	11.8773	31
9.0772	11.8773	43
9.1572	10.4313	48
9.24821	10.4313	53
9.33321	10.4313	56
9.42022	10.4313	62
9.50822	10.4313	60
9.59522	10.4313	65
9.68322	10.4313	68
9.77023	10.4313	74
9.85424	10.4313	72
9.94524	10.4313	77
10.0332	10.4313	80
10.1172	10.4313	86
10.2052	10.4313	84
10.2913	10.4313	89
10.3783	10.4623	92
10.4663	11.7433	98
10.5543	11.7433	91
10.6383	11.7433	89
10.7283	11.7433	83
10.8143	11.7433	86
10.9003	11.7433	79
10.9883	11.7433	77
11.0763	11.7433	71
11.1593	11.7433	74
11.2503	11.7433	67
11.3383	11.7433	65
11.4223	11.7433	59
11.5103	11.7433	63
11.5973	11.7433	55
11.6843	11.7723	53
11.7733	11.8783	47
11.8783	14.6484	36
11.8803	11.9583	48
11.9583	14.5504	48
12.0413	14.4644	55
12.1323	12.3083	60
12.2203	14.2924	64
12.3083	14.2054	60
12.3923	14.1174	67
12.4723	12.6503	72
12.5593	13.9424	76
12.6503	13.8544	72
12.7353	13.7704	79
12.8223	12.9903	84
12.9103	13.6034	88
12.9903	13.5114	84
13.0843	13.4244	91
13.1654	13.3404	96
13.2534	14.5344	100
13.3404	14.5344	96
13.4244	14.5344	91
13.5114	13.6804	84
13.6034	14.5344	88
13.6804	14.5344	84
13.7704	14.5344	79
13.8544	14.0304	72
13.9424	14.5344	76
14.0304	14.5344	72
14.1174	14.5344	67
14.2054	14.3774	60
14.2924	14.5344	64
14.3774	14.5344	60
14.4644	14.5554	55
14.5554	14.6534	48
14.6534	17.4425	33
14.6534	17.4425	45
14.7364	15.9544	48
