OnsetTime	OffsetTime	MidiPitch
1.11198	1.42998	70
1.42998	1.95496	70
1.43398	1.75197	39
1.53798	2.16496	58
1.53897	1.85797	55
1.64297	2.16496	67
1.64397	1.95796	46
1.75197	2.26395	75
1.75197	2.05996	39
1.85797	2.46695	63
1.85797	2.57394	55
1.95496	2.46594	70
1.95796	2.26395	46
2.05996	2.57094	79
2.05996	2.36795	39
2.16496	2.77094	67
2.16496	2.87494	58
2.26395	2.77094	75
2.26395	2.67394	46
2.36795	2.87294	82
2.36795	3.27093	39
2.46594	3.07194	70
2.46695	3.27093	63
2.57094	3.07093	79
2.57394	3.27093	55
2.67294	3.27093	87
2.67394	3.27093	46
2.77094	3.27093	75
2.77094	3.27093	67
2.87294	3.16894	82
2.87494	3.16993	58
2.97094	3.27093	91
2.97294	3.27093	51
3.07093	3.27093	79
3.07194	3.27093	70
3.16894	3.27093	82
3.16993	3.27093	58
3.26693	3.57592	89
3.27093	3.57592	51
3.36593	3.57592	74
3.36693	3.57592	71
3.47093	3.57592	80
3.47293	3.57592	59
3.57493	3.90093	87
3.57592	3.88392	51
3.67392	3.90093	75
3.67692	3.90093	72
3.77891	3.90093	80
3.77891	3.90093	60
3.88292	4.19592	84
3.88392	4.19791	51
3.98193	4.20191	72
3.98492	4.20191	68
4.08592	4.20191	80
4.08692	4.20191	62
4.19592	4.53091	84
4.19791	4.53091	51
4.30091	4.53091	72
4.30091	4.53091	67
4.39791	4.53091	79
4.40191	4.53091	63
4.50391	5.14089	82
4.50591	5.14089	58
4.60891	5.03189	70
4.6119	4.92289	67
4.7129	5.13689	75
4.7139	4.9239	63
4.81789	5.14089	79
4.8189	5.14089	51
4.92289	5.14089	67
4.9239	5.14089	63
5.03189	5.14089	70
5.03289	5.14089	55
5.13689	5.44788	75
5.13988	5.44788	41
5.23488	5.44788	63
5.23789	5.44788	60
5.33988	5.44788	69
5.34288	5.44788	53
5.44487	5.74987	74
5.44487	5.74987	48
5.54287	5.74987	62
5.54587	5.74987	60
5.64788	5.74987	69
5.65087	5.74987	53
5.74587	6.04986	75
5.74987	6.04986	41
5.85087	6.04986	63
5.85387	6.04986	60
5.94987	6.04986	69
5.95187	6.04986	53
6.04887	6.35685	79
6.04986	6.35685	46
6.14787	6.35685	67
6.14886	6.35685	63
6.24686	6.35685	70
6.24986	6.35685	53
6.34486	6.66586	77
6.34785	6.66586	50
6.44286	6.66586	65
6.44486	6.66586	62
6.54686	6.66586	70
6.54785	6.66586	53
6.64486	6.95084	74
6.64885	6.95084	46
6.74386	6.95084	62
6.74585	6.95084	58
6.84185	6.95084	65
6.84385	6.95084	53
6.94985	7.26483	75
6.94985	7.26483	41
7.05184	7.26483	63
7.05384	7.26483	60
7.15684	7.26483	69
7.15883	7.26483	53
7.26183	7.57582	74
7.26483	7.57582	48
7.36583	7.57582	62
7.36683	7.57582	59
7.47083	7.57582	69
7.47183	7.57582	53
7.57383	7.90283	75
7.57582	7.90283	41
7.67283	7.90283	63
7.67382	7.90283	60
7.77881	7.90283	69
7.77982	7.90283	53
7.90182	8.22681	79
7.90182	8.22681	46
8.00282	8.22681	67
8.00582	8.22681	63
8.10882	8.22681	72
8.11082	8.22681	56
8.21381	8.5418	77
8.21681	8.41879	53
8.3108	8.5418	65
8.3148	8.5418	62
8.41679	8.5418	68
8.41879	8.5418	53
8.52079	8.84978	72
8.52179	8.84978	46
8.6248	8.84978	60
8.6258	8.84978	56
8.7308	8.84978	65
8.73179	8.84978	50
8.83379	9.36177	70
8.83579	9.14878	39
8.93778	9.56777	58
8.93978	9.25977	55
9.04879	9.56377	67
9.04978	9.36377	46
9.14878	9.66477	75
9.14878	9.46277	39
9.25977	9.86976	63
9.25977	9.97376	55
9.36177	9.86877	70
9.36377	9.66576	46
9.46277	9.97376	79
9.46277	9.76976	39
9.56377	10.1778	67
9.56777	10.2758	58
9.66477	10.1768	75
9.66576	10.0718	46
9.76777	10.2747	82
9.76976	10.6707	39
9.86877	10.4738	70
9.86976	10.6707	63
9.97376	10.4718	79
9.97376	10.6707	55
10.0718	10.6707	87
10.0718	10.6707	46
10.1768	10.6707	75
10.1778	10.6707	67
10.2747	10.5687	82
10.2758	10.5717	58
10.3728	10.6707	91
10.3757	10.6697	51
10.4718	10.6707	79
10.4738	10.6707	70
10.5687	10.6707	82
10.5717	10.6707	58
10.6667	10.9787	89
10.6697	10.9777	51
10.7747	10.9787	74
10.7757	10.9787	71
10.8727	10.9787	80
10.8727	10.9787	59
10.9747	11.3027	87
10.9777	11.2867	51
11.0727	11.3027	75
11.0757	11.3027	72
11.1807	11.3027	80
11.1807	11.3027	60
11.2827	11.5967	84
11.2867	11.5977	51
11.3877	11.6017	72
11.3907	11.6017	68
11.4887	11.6017	80
11.4897	11.6017	62
11.5967	11.9327	84
11.5977	11.9327	51
11.7017	11.9327	72
11.7027	11.9327	67
11.8047	11.9327	79
11.8077	11.9327	63
11.9047	12.5397	82
11.9057	12.5397	58
12.0107	12.5397	70
12.0107	12.3287	67
12.1127	12.4337	75
12.1157	12.3297	63
12.2247	12.5397	79
12.2267	12.5397	51
12.3287	12.5397	67
12.3297	12.5397	63
12.4337	12.5397	75
12.4347	12.5397	55
12.5387	12.8507	78
12.5387	12.8507	47
12.6407	12.8507	66
12.6437	12.8507	63
12.7397	12.8507	75
12.7417	12.8507	57
12.8467	13.1517	77
12.8467	13.1517	51
12.9447	13.1517	65
12.9457	13.1517	63
13.0477	13.1517	75
13.0497	13.1517	57
13.1477	13.4597	78
13.1487	13.4597	47
13.2537	13.4597	66
13.2537	13.4597	63
13.3507	13.4597	75
13.3517	13.4597	57
13.4567	13.7607	79
13.4567	13.7607	46
13.5537	13.7607	67
13.5547	13.7607	62
13.6527	13.7607	74
13.6547	13.7607	55
13.7567	14.0547	81
13.7607	14.0547	45
13.8557	14.0547	69
13.8586	14.0547	62
13.9537	14.0547	74
13.9556	14.0547	54
14.0516	14.3566	82
14.0547	14.3566	43
14.1566	14.3566	70
14.1596	14.3566	62
14.2546	14.3566	74
14.2576	14.3566	55
14.3526	14.6646	84
14.3556	14.6646	41
14.4606	14.6646	72
14.4606	14.6646	70
14.5626	14.6646	77
14.5656	14.6646	63
14.6606	14.9716	86
14.6636	14.9716	53
14.7686	14.9716	74
14.7696	14.9716	70
14.8656	14.9716	77
14.8666	14.9716	63
14.9686	15.2856	81
14.9706	15.2856	60
15.0666	15.2856	69
15.0696	15.2856	65
15.1666	15.2856	77
15.1676	15.2856	63
15.2836	15.6046	84
15.2846	15.5936	46
15.3816	15.6046	72
15.3846	15.6046	63
15.4866	15.6046	77
15.4896	15.6046	53
15.5906	15.9366	82
15.5936	15.9166	46
15.6966	15.9366	70
15.6966	15.9366	62
15.7946	15.9156	77
15.7966	15.9366	53
15.9156	16.2246	77
15.9166	16.2276	46
16.0186	16.2276	65
16.0216	16.2276	61
16.1196	16.2276	70
16.1206	16.2276	53
16.2246	16.5396	77
16.2246	16.5396	44
16.3266	16.5396	65
16.3296	16.5396	59
16.4346	16.5396	71
16.4346	16.5396	53
16.5366	16.8406	75
16.5386	16.8406	49
16.6346	16.8406	63
16.6376	16.8406	59
16.7386	16.8406	70
16.7416	16.8406	53
16.8396	17.1516	77
16.8406	17.1516	37
16.9426	17.1516	61
16.9456	17.1516	59
17.0406	17.1516	68
17.0436	17.1516	53
17.1476	17.4626	80
17.1486	17.4626	42
17.2536	17.4626	61
17.2546	17.4626	58
17.3516	17.4626	70
17.3516	17.4626	54
17.4496	17.7636	78
17.4526	17.7636	49
17.5476	17.7636	61
17.5476	17.7636	58
17.6466	17.7636	70
17.6486	17.7636	54
17.7506	18.0556	73
17.7506	18.0556	42
17.8486	18.0556	61
17.8516	18.0556	58
17.9476	18.0556	70
17.9496	18.0556	49
18.0516	18.3626	77
18.0556	18.3626	37
18.1526	18.3626	61
18.1536	18.3626	59
18.2556	18.3626	71
18.2576	18.3626	53
18.3596	18.6676	75
18.3626	18.6676	44
18.4576	18.6676	61
18.4606	18.6676	59
18.5656	18.6676	70
18.5666	18.6676	53
18.6636	18.9686	77
18.6636	18.9686	37
18.7656	18.9686	61
18.7686	18.9686	59
18.8665	18.9686	68
18.8665	18.9686	53
18.9646	19.2516	80
18.9686	19.2516	42
19.0636	19.2516	61
19.0656	19.2516	58
19.1616	19.2586	70
19.1636	19.2586	54
19.2595	19.5846	78
19.2626	19.5846	49
19.3645	19.5846	61
19.3665	19.5846	58
19.4645	19.5846	70
19.4655	19.5846	54
19.5605	19.8675	73
19.5635	19.8655	42
19.6605	19.8675	61
19.6615	19.8675	58
19.7655	19.8675	70
19.7665	19.8675	49
19.8645	20.1865	76
19.8655	20.1865	42
19.9795	20.1865	64
19.9825	20.1865	58
20.0845	20.1865	70
20.0855	20.1865	49
20.1825	20.4915	82
20.1865	20.4905	42
20.2875	20.4915	64
20.2885	20.4915	61
20.3865	20.4915	73
20.3865	20.4915	54
20.4905	20.7955	85
20.4905	20.7955	42
20.5895	20.7955	70
20.5895	20.7955	64
20.6875	20.7955	76
20.6895	20.7955	58
20.7945	21.0955	86
20.7955	21.0955	41
20.8905	21.0955	70
20.8935	21.0955	65
20.9955	21.0955	77
20.9985	21.0955	58
21.0935	21.3975	87
21.0955	21.3965	53
21.1945	21.3975	70
21.1945	21.3975	67
21.2965	21.3975	79
21.2995	21.3975	58
21.3945	21.7015	83
21.3965	21.6985	53
21.4955	21.7015	68
21.4965	21.7015	65
21.6005	21.7015	74
21.6005	21.7015	59
21.6975	22.0195	84
21.6985	22.0125	53
21.8005	22.0195	69
21.8035	22.0195	65
21.9115	22.0195	75
21.9155	22.0195	60
22.0105	22.3275	86
22.0125	22.3265	53
22.1155	22.3275	69
22.1185	22.3275	65
22.2195	22.3275	77
22.2235	22.3275	63
22.3255	22.6405	81
22.3265	22.6405	53
22.4295	22.6405	69
22.4305	22.6405	63
22.5345	22.6405	72
22.5345	22.6405	57
22.6365	22.9614	84
22.6395	22.9475	46
22.7444	22.9614	65
22.7455	22.9614	63
22.8425	22.9614	75
22.8425	22.9614	53
22.9444	23.2934	82
22.9475	23.2724	46
23.0524	23.2934	65
23.0534	23.2934	62
23.1484	23.2934	74
23.1504	23.2934	53
23.2704	23.5745	77
23.2724	23.5785	46
23.3685	23.5785	65
23.3705	23.5785	61
23.4735	23.5785	70
23.4765	23.5785	53
23.5745	24.1904	77
23.5745	24.1914	44
23.6765	24.1914	65
23.6784	23.9864	59
23.7814	24.1914	71
23.7845	24.0854	53
23.8814	24.1914	75
23.8824	24.1914	49
23.9844	24.1914	63
23.9864	24.1914	59
24.0824	24.1914	70
24.0854	24.1914	53
24.1904	24.4914	77
24.1904	24.4914	37
24.2884	24.4914	61
24.2894	24.4914	59
24.3904	24.4914	68
24.3934	24.4914	53
24.4884	25.1034	80
24.4914	25.0894	42
24.5894	24.8834	61
24.5904	24.8874	58
24.6874	24.9814	70
24.6904	24.9854	54
24.7864	25.1034	78
24.7884	25.1034	49
24.8834	25.1034	61
24.8874	25.1034	58
24.9814	25.1034	70
24.9854	25.1034	54
25.0874	25.3914	73
25.0894	25.3914	42
25.1884	25.3914	61
25.1884	25.3914	58
25.2864	25.3914	70
25.2864	25.3914	49
25.3884	26.0004	77
25.3904	26.0014	37
25.4954	25.7944	61
25.4954	25.7964	59
25.5944	26.0034	71
25.5944	25.9034	53
25.6964	26.0034	75
25.6984	26.0034	44
25.7944	26.0034	61
25.7964	26.0034	59
25.9024	26.0034	70
25.9034	26.0034	53
26.0004	26.3084	77
26.0014	26.3084	37
26.1044	26.3084	61
26.1054	26.3084	59
26.2034	26.3084	68
26.2064	26.3084	53
26.3084	26.9194	80
26.3084	26.9024	42
26.3994	26.7034	61
26.4024	26.7044	58
26.5004	26.8014	70
26.5014	26.8024	54
26.6044	26.9194	78
26.6054	26.9194	49
26.7034	26.9194	61
26.7044	26.9194	58
26.8014	26.9194	70
26.8024	26.9194	54
26.8994	27.2074	77
26.9024	27.2074	42
26.9984	27.2074	61
27.0004	27.2074	58
27.1024	27.2074	70
27.1054	27.2074	49
27.2004	27.8084	76
27.2014	27.8084	43
27.3064	27.6094	61
27.3084	27.8084	58
27.4104	27.8084	70
27.4134	27.7074	52
27.5084	27.8084	79
27.5124	27.8084	46
27.6064	27.8084	64
27.6094	27.8084	61
27.7054	27.8084	73
27.7074	27.8084	52
27.8064	28.4053	78
27.8064	28.4053	45
27.9074	28.2074	63
27.9104	28.4053	60
28.0084	28.4053	72
28.0084	28.4053	51
28.1074	28.4053	81
28.1084	28.4053	48
28.2054	28.4053	66
28.2074	28.4053	63
28.2994	28.4053	75
28.3004	28.4053	54
28.4044	28.9924	80
28.4044	28.9924	47
28.5014	28.7933	65
28.5024	28.9924	62
28.6014	28.9924	74
28.6024	28.9924	53
28.6984	28.9924	83
28.7013	28.9924	50
28.7893	28.9924	68
28.7933	28.9924	65
28.8914	28.9924	77
28.8923	28.9924	56
28.9893	29.5773	82
28.9893	29.5773	49
29.0873	29.3803	67
29.0903	29.5773	64
29.1873	29.5773	76
29.1883	29.5773	55
29.2863	29.5773	85
29.2873	29.5773	52
29.3773	29.5773	70
29.3803	29.5773	67
29.4754	29.5773	79
29.4793	29.5773	58
29.5744	30.1783	84
29.5763	30.1783	51
29.6723	29.9653	69
29.6743	30.1783	66
29.7673	30.1783	78
29.7683	30.1783	57
29.8643	30.1783	87
29.8663	30.1783	54
29.9623	30.1783	72
29.9653	30.1783	69
30.0633	30.1783	81
30.0643	30.1783	60
30.1613	30.4863	86
30.1643	30.4863	53
30.2603	30.4863	71
30.2623	30.4863	68
30.3583	30.4863	80
30.3613	30.4863	59
30.4623	30.6163	89
30.4653	30.6193	58
30.8323	31.3573	70
30.8333	31.1493	39
30.9393	31.5613	58
30.9413	31.2543	55
31.0433	31.5613	67
31.0463	31.3583	46
31.1483	31.6663	75
31.1493	31.4623	39
31.2533	31.8703	63
31.2543	31.9683	55
31.3573	31.8703	70
31.3583	31.6663	46
31.4603	31.9673	79
31.4623	31.7643	39
31.5613	32.1733	67
31.5613	32.2713	58
31.6663	32.1713	75
31.6663	32.0753	46
31.7633	32.2683	82
31.7643	32.6713	39
31.8703	32.4753	70
31.8703	32.6713	63
31.9673	32.4743	79
31.9683	32.6713	55
32.0713	32.6713	87
32.0753	32.6713	46
32.1713	32.6713	75
32.1733	32.6713	67
32.2683	32.5703	82
32.2713	32.5723	58
32.3663	32.6713	91
32.3693	32.6713	51
32.4743	32.6713	79
32.4753	32.6713	70
32.5703	32.6713	82
32.5723	32.6713	58
32.6673	32.9753	89
32.6713	32.9733	51
32.7653	32.9753	74
32.7683	32.9753	71
32.8733	32.9753	80
32.8733	32.9753	59
32.9723	33.2973	87
32.9733	33.2803	51
33.0733	33.2973	75
33.0763	33.2973	72
33.1813	33.2973	80
33.1823	33.2973	60
33.2803	33.5973	84
33.2803	33.5983	51
33.3813	33.6023	72
33.3853	33.6023	68
33.4873	33.6023	80
33.4893	33.6023	62
33.5973	33.9343	84
33.5983	33.9343	51
33.6963	33.9343	72
33.6993	33.9343	67
33.8013	33.9343	79
33.8023	33.9343	63
33.9063	34.5402	82
33.9063	34.5402	58
34.0103	34.4283	70
34.0113	34.3233	67
34.1163	34.5392	75
34.1173	34.3253	63
34.2183	34.5402	79
34.2213	34.5402	51
34.3233	34.5402	67
34.3253	34.5402	63
34.4283	34.5402	70
34.4292	34.5402	55
34.5392	34.8442	75
34.5392	34.8442	41
34.6382	34.8442	63
34.6382	34.8442	60
34.7402	34.8442	69
34.7422	34.8442	53
34.8402	35.1522	74
34.8412	35.1522	48
34.9462	35.1522	62
34.9472	35.1522	60
35.0443	35.1522	69
35.0462	35.1522	53
35.1492	35.4472	75
35.1492	35.4472	41
35.2472	35.4472	63
35.2482	35.4472	60
35.3452	35.4472	69
35.3472	35.4472	53
35.4462	35.7542	79
35.4472	35.7542	46
35.5442	35.7542	67
35.5442	35.7542	63
35.6422	35.7542	70
35.6422	35.7542	53
35.7412	36.0582	77
35.7432	36.0582	50
35.8392	36.0582	65
35.8412	36.0582	62
35.9362	36.0582	70
35.9392	36.0582	53
36.0372	36.3392	74
36.0382	36.3392	46
36.1402	36.3392	62
36.1422	36.3392	58
36.2372	36.3392	65
36.2412	36.3392	53
36.3352	36.6602	75
36.3382	36.6602	41
36.4482	36.6602	63
36.4502	36.6602	60
36.5522	36.6602	69
36.5532	36.6602	53
36.6572	36.9692	74
36.6572	36.9692	48
36.7562	36.9692	62
36.7582	36.9692	59
36.8602	36.9692	69
36.8612	36.9692	53
36.9652	37.2912	75
