OnsetTime	OffsetTime	MidiPitch
0.822996	4.869	65
0.824002	4.869	68
1.757	4.42099	80
1.75799	3.53699	77
3.53699	5.278	77
3.53699	5.283	73
4.869	8.64198	69
4.873	8.64298	66
5.285	5.67699	72
5.28599	5.678	75
5.678	6.10499	73
5.67899	6.10798	77
6.10798	9.07998	75
6.10899	9.07998	72
8.64298	12.513	65
8.64597	12.514	68
9.08099	9.48899	73
9.08099	9.48998	70
9.49198	9.88798	75
9.49299	9.89097	72
9.89198	13.333	70
9.89497	11.866	73
10.564	12.233	77
11.866	13.336	73
12.517	16.286	63
12.518	16.29	66
12.934	13.753	72
12.937	13.753	68
13.333	15.765	70
13.336	15.765	73
13.753	16.713	72
13.753	16.714	68
16.29	18.701	66
16.291	18.702	63
16.293	18.705	61
16.714	17.123	70
17.124	17.525	72
17.525	18.284	70
17.932	18.309	75
18.31	18.705	70
18.706	19.09	68
18.708	19.864	66
18.709	19.864	60
18.709	19.867	63
19.09	19.475	70
19.475	20.262	68
19.867	22.204	63
19.871	22.205	58
19.871	22.205	61
20.265	20.654	66
20.655	21.029	68
21.029	22.206	66
22.208	23.381	63
22.209	23.793	65
22.209	23.381	57
22.21	23.385	60
23.385	25.781	61
23.386	25.786	56
23.388	26.951	58
23.794	24.2	65
24.201	24.602	66
24.603	25.005	65
25.005	25.551	70
25.39	25.786	65
25.788	26.167	63
25.789	26.951	54
26.168	26.562	65
26.562	27.347	63
26.955	29.295	58
26.955	29.296	53
26.956	29.299	56
27.347	27.734	61
27.735	28.123	63
28.124	29.3	61
29.3	31.227	56
29.303	31.227	60
29.303	31.227	51
29.303	31.227	54
30.003	31.385	44
30.948	31.385	37
31.386	34.556	56
31.389	34.556	53
31.784	35.004	65
31.784	35.004	68
32.337	34.556	80
32.338	33.671	77
33.668	35.414	73
33.671	35.418	77
35.005	37.493	42
35.005	35.418	49
35.419	38.731	66
35.419	35.809	75
35.421	38.732	70
35.421	38.732	61
35.421	38.733	58
35.425	38.735	54
35.425	38.736	49
35.81	36.24	77
36.241	39.166	75
38.736	41.311	41
38.737	41.315	49
39.167	39.576	73
39.167	40.048	68
39.168	39.579	61
39.169	40.049	53
39.17	40.049	56
39.58	40.051	75
39.583	40.052	63
40.052	41.315	68
40.055	41.316	73
40.056	41.318	80
40.056	41.319	65
40.056	41.319	61
41.321	42.579	73
41.322	42.579	65
41.322	42.991	77
41.323	42.5819	56
41.325	42.5819	61
42.5819	45.085	42
42.5859	42.9919	49
42.9919	43.3829	75
42.995	46.351	66
42.9959	46.351	70
42.9959	46.352	61
42.9959	46.355	58
42.9979	46.355	54
42.9979	46.356	49
43.3869	43.821	77
43.821	45.0879	75
45.089	46.785	73
46.358	50.293	44
46.789	47.675	68
46.789	47.198	73
46.793	47.199	61
46.793	47.675	53
46.793	47.678	59
47.2019	47.678	63
47.203	47.679	75
47.682	48.371	70
47.682	48.371	82
47.6829	49.6589	77
47.6849	49.449	65
47.6849	49.453	61
47.686	49.453	59
48.375	49.663	80
48.375	49.6639	68
49.6639	50.706	65
49.6659	50.706	77
50.293	52.8999	46
50.707	54.7339	65
50.709	51.083	75
50.709	53.585	70
50.709	52.207	63
50.71	54.7349	53
50.7129	54.7369	58
51.084	51.493	77
51.497	52.2109	75
52.212	53.5859	73
52.214	54.738	61
53.587	54.738	70
54.738	57.1839	27
54.7409	57.1839	39
55.3779	56.4179	82
55.3789	57.1879	77
55.3809	57.1879	89
55.3819	56.4209	70
55.3819	56.4209	66
55.3849	57.1879	65
56.4219	56.7989	87
56.4219	56.8029	82
56.4249	56.8029	75
56.4259	56.8059	63
56.4259	56.8059	66
56.4279	56.8059	70
56.8069	57.1889	82
56.8099	57.1559	87
56.8099	57.1559	75
56.8099	57.1569	63
56.8109	57.1909	66
56.8129	57.1909	70
57.1909	57.5789	75
57.1919	57.5799	87
57.1949	57.5799	82
57.1949	57.5829	63
57.1949	57.5839	66
57.1979	57.5839	70
57.5839	57.9609	82
57.5869	57.9639	73
57.5869	57.9649	85
57.5869	57.9649	61
57.5909	57.9679	66
57.5909	57.9689	70
57.9689	58.3109	73
57.9689	58.3119	85
57.9709	58.3119	82
57.9709	58.3119	61
57.9719	58.3139	66
57.9719	58.3149	70
58.3459	58.7419	85
58.3459	58.7419	73
58.3469	58.7429	82
58.3499	58.7429	61
58.3499	58.7449	66
58.3509	58.7449	70
58.7459	59.1219	82
58.7459	59.1229	78
58.7489	59.1229	72
58.7489	59.1259	84
58.7499	59.1269	60
58.7499	59.1269	66
58.7519	59.1279	70
59.1299	59.4699	72
59.1299	59.4729	82
59.1339	59.4729	84
59.1339	59.4729	78
59.1339	59.4769	60
59.1349	59.4769	66
59.1369	59.4769	70
59.5019	60.1029	84
59.5019	60.1029	72
59.5019	60.1069	82
59.5029	60.1069	78
59.5049	60.1069	60
59.5049	60.1079	66
59.5049	60.1099	70
60.1099	60.7819	82
60.1139	60.7829	73
60.1139	60.7859	85
60.1139	60.7859	61
60.1149	60.7859	66
60.1169	60.7899	70
60.7899	62.1749	70
60.7929	62.1789	82
60.7929	62.1789	78
60.7939	62.1789	58
60.7969	62.1829	61
60.7969	62.1829	66
62.1829	64.6079	46
62.1849	64.6079	27
62.1859	64.6109	39
62.8189	63.8659	82
62.8229	64.2369	89
62.8229	64.2379	77
62.8229	63.8669	70
62.8269	63.8669	66
62.8269	64.2379	65
63.8689	64.2399	78
63.8699	64.2399	90
63.8699	64.2409	82
63.8729	64.2439	66
63.8729	64.2439	75
63.8739	64.2469	70
64.2469	64.6109	82
64.2479	64.6119	89
64.2479	64.6149	77
64.2509	64.6159	65
64.2509	64.6159	66
64.2519	64.6179	70
64.6179	64.9579	87
64.6189	64.9579	75
64.6219	64.9589	82
64.6219	64.9609	63
64.6219	64.9609	66
64.6229	64.9609	70
64.9849	65.3559	77
64.9859	65.3569	89
64.9899	65.3599	82
64.9899	65.3609	65
64.9899	65.3609	66
64.9909	65.3639	70
65.3639	65.7269	82
65.3639	65.7279	87
65.3679	65.7309	75
65.3679	65.7319	63
65.3679	65.7319	66
65.3689	65.7339	70
65.7349	66.0809	85
65.7349	66.0839	82
65.7379	66.0849	73
65.7389	66.0849	61
65.7409	66.0879	66
65.7419	66.0889	70
66.1189	66.5009	82
66.1199	66.5009	75
66.1199	66.5019	87
66.1199	66.5049	63
66.1229	66.5049	66
66.1229	66.5059	70
66.5079	66.8479	73
66.5089	66.8479	82
66.5089	66.8509	85
66.5119	66.8509	61
66.5129	66.8549	66
66.5129	66.8549	70
66.8789	67.4289	82
66.8789	67.4319	72
66.8799	67.4329	84
66.8829	67.4809	60
66.8829	67.4849	66
66.8839	67.4849	70
67.4329	67.4859	87
67.4859	68.1639	85
67.4879	68.1639	73
67.4889	68.1649	82
67.4889	68.1649	61
67.4919	68.1669	66
67.4919	68.1669	70
68.1679	70.0358	70
68.1679	70.0368	78
68.1709	70.0368	82
68.1709	69.4828	58
68.1709	69.4869	63
68.1718	69.4869	66
69.4869	71.6038	32
69.4898	71.6048	44
70.0398	70.5538	78
70.0408	70.5548	66
70.0428	70.5548	54
70.5578	71.0688	75
70.5578	71.0718	80
70.5578	71.0718	68
70.5588	71.6048	63
70.5618	71.0728	60
70.5618	71.0758	56
71.0758	71.6068	72
71.0768	71.6078	84
71.0788	71.6078	60
71.6078	72.1498	70
71.6108	72.1508	82
71.6118	72.1508	78
71.6118	72.1528	66
71.6138	72.6928	63
71.6148	72.1538	58
72.1538	72.6958	66
72.1568	72.6998	78
72.1578	72.6998	54
72.7008	74.7158	33
72.7008	74.7158	45
73.0598	73.4068	75
73.0598	73.4038	66
73.0608	73.4068	78
73.0638	73.4068	72
73.0638	73.4078	63
73.0638	73.4098	60
73.0668	73.4108	54
73.4038	73.7248	66
73.4068	73.7258	72
73.4068	73.7218	75
73.4068	73.7248	78
73.4078	73.7288	63
73.4098	73.7288	60
73.4108	73.7288	54
73.7218	74.0618	75
73.7248	74.0628	78
73.7248	74.0648	66
73.7258	74.0618	72
73.7288	74.0648	63
73.7288	74.0648	60
73.7288	74.0688	54
74.0618	74.3518	72
74.0618	74.3518	75
74.0628	74.3528	78
74.0648	74.3528	66
74.0648	74.3548	63
74.0648	74.3548	60
74.0688	74.3548	54
74.3728	74.7168	80
74.3728	74.7198	72
74.3738	74.7198	68
74.3758	74.7208	75
74.3758	74.7228	56
74.3768	74.7228	60
74.3768	74.7228	63
74.7268	75.7488	66
74.7268	75.7488	78
74.7278	75.7488	72
74.7278	75.7508	75
74.7298	75.7518	54
74.7298	75.7518	60
74.7308	75.7548	63
75.7558	77.8028	34
75.7558	77.8058	46
76.2768	76.7798	66
76.2768	76.7838	78
76.2778	77.2848	73
76.2798	77.2878	61
76.2798	77.2878	58
76.2808	76.7848	54
76.7848	77.2888	68
