OnsetTime	OffsetTime	MidiPitch
0.521985	0.573993	50
0.521985	0.574999	57
0.727992	0.778002	59
0.731989	0.778002	65
0.935005	0.979999	60
0.935998	0.980992	53
1.13	1.183	69
1.134	1.18401	62
1.344	1.512	59
1.348	1.543	50
1.544	1.649	59
1.65	1.74699	60
1.74699	1.94299	69
1.748	1.946	65
1.751	1.946	59
1.94699	2.10799	57
2.163	2.23999	59
2.16399	2.37299	50
2.583	2.74499	65
2.58399	2.74799	69
2.58399	2.74799	60
3.00999	3.21998	59
3.01399	3.42398	45
3.22099	3.42398	60
3.42698	3.82497	72
3.42698	3.82597	69
3.42698	3.52497	62
3.62297	3.72497	64
3.82597	3.92397	66
3.82896	4.21397	38
4.02196	4.08497	66
4.08796	4.15096	67
4.15197	4.21496	66
4.21496	4.41696	64
4.21796	4.61996	72
4.21796	4.62095	69
4.41796	4.62095	62
4.62396	4.79795	60
4.62396	5.04394	45
4.83694	5.00893	62
5.04394	5.42794	72
5.04494	5.42894	69
5.04793	5.42894	64
5.45994	5.67094	64
5.46294	5.87294	40
5.67094	5.87393	66
5.87694	5.97194	68
5.87793	6.27993	59
6.06493	6.17393	69
6.27993	6.44692	66
6.28293	6.68491	52
6.48192	6.58692	66
6.58692	6.68592	68
6.68792	6.88792	66
6.68891	6.89191	62
6.68891	7.10892	57
6.89191	7.05191	60
6.8949	7.05291	64
7.10991	7.3159	66
7.11191	7.3159	62
7.11291	7.5219	40
7.5229	7.7389	62
7.5249	7.73991	66
7.5249	7.73991	69
7.9529	8.16591	68
7.9529	8.16591	64
7.95391	8.57791	59
7.95591	10.4649	52
8.16891	8.36091	66
8.16891	8.36591	69
8.36591	8.96092	64
8.36791	8.96391	68
8.57892	8.78892	60
8.78892	9.40789	59
8.99791	9.19891	66
8.99891	9.2019	69
9.2019	9.79289	68
9.20291	9.79289	71
9.4119	9.6179	60
9.61889	10.2349	62
9.82789	10.0239	69
9.82789	10.0249	72
10.0269	10.2349	64
10.0279	10.4649	68
10.2349	10.4689	64
10.4689	10.6749	76
10.4699	10.6759	79
10.4719	11.2869	69
10.4719	11.2919	60
10.4729	11.2919	53
10.6759	10.7729	74
10.6799	10.7729	77
10.7769	10.8789	76
10.7769	10.8789	79
10.8789	11.0809	74
10.8819	11.0819	77
11.0819	11.2949	72
11.0849	11.2959	76
11.2959	11.4949	74
11.2959	11.4949	70
11.2979	12.1209	65
11.2979	12.1209	62
11.2989	12.1219	55
11.4949	11.7079	69
11.4958	11.7089	72
11.7089	12.3308	70
11.7109	12.3319	74
12.1249	12.9398	48
12.1249	12.9408	55
12.1259	12.9408	64
12.3319	12.4289	69
12.3319	12.4289	72
12.4298	12.5268	70
12.4329	12.5268	74
12.5278	12.7368	72
12.5308	12.7378	69
12.7378	12.9408	70
12.7398	12.9428	67
12.9438	13.1468	65
12.9438	13.1498	69
12.9478	13.3628	53
12.9478	13.3638	57
12.9478	13.3638	60
13.1498	13.3668	64
13.1508	13.3678	67
13.3678	13.7448	65
13.3698	13.7448	69
13.3698	13.7488	50
13.3708	13.7488	57
13.3708	13.7498	62
13.7798	14.5878	69
13.7798	13.9758	76
13.7838	13.9788	79
13.7838	14.5888	41
13.7838	14.5888	57
13.7868	14.5888	48
13.9798	14.0808	74
13.9828	14.0808	77
14.0848	14.1818	76
14.0878	14.1828	79
14.1828	14.3858	74
14.1838	14.3858	77
14.3868	14.5918	72
14.3888	14.5928	76
14.5928	15.4178	65
14.5948	14.7938	70
14.5948	14.7948	74
14.5958	15.4178	43
14.5988	15.4188	58
14.5988	15.4218	50
14.7988	15.0048	69
14.7988	15.0048	72
15.0078	15.6208	70
15.0088	15.6218	74
15.4218	16.2368	64
15.4218	16.2378	48
15.4248	16.2378	55
15.4248	16.2398	60
15.6238	15.7188	69
15.6238	15.7188	72
15.7228	15.8228	70
15.7228	15.8238	74
15.8238	16.0268	72
15.8268	16.0268	69
16.0308	16.2398	70
16.0308	16.2408	67
16.2408	16.4458	65
16.2438	16.4468	69
16.2438	16.8698	53
16.2448	16.8708	60
16.4468	16.6608	64
16.4478	16.6608	67
16.6618	17.6967	65
16.6638	17.2798	69
16.8708	17.0698	52
17.0738	17.6997	50
17.0738	17.9027	53
17.2828	17.4897	67
17.4908	18.1057	69
17.6997	17.9027	64
17.7037	17.9037	48
17.9057	20.3457	62
17.9057	19.9397	53
17.9067	18.5187	47
18.1067	18.3087	67
18.3087	18.9247	69
18.5197	18.7187	45
18.7187	19.3347	43
18.9247	19.1347	71
19.1357	19.3347	74
19.3377	19.5337	71
19.3377	19.5337	45
19.5347	19.7367	69
19.5367	20.3457	47
19.7377	19.9397	71
19.9407	20.1427	64
19.9437	20.1437	55
20.1457	20.3467	67
20.1467	20.3487	52
20.3497	22.7886	62
20.3497	20.5557	69
20.3517	20.9657	47
20.3527	22.5846	53
20.5557	20.7587	67
20.7597	21.3677	69
20.9687	21.1677	45
21.1687	21.7767	43
21.3687	21.5777	71
21.5777	21.7807	74
21.7817	21.9767	71
21.7837	21.9767	45
21.9797	22.1797	69
21.9807	22.7896	47
22.1837	22.3756	71
22.3786	22.5896	69
22.5896	22.7926	65
22.5906	22.7926	55
22.7936	24.6156	64
22.7956	24.2166	60
22.7956	22.9986	56
22.7996	25.2206	48
22.9996	23.2016	54
23.2056	23.4116	52
23.4126	23.6116	54
23.6156	23.8176	56
23.8176	23.8906	57
24.0206	24.0946	59
24.2166	25.2216	60
24.4196	24.4966	62
24.6186	25.2246	64
24.8156	24.8916	66
25.0106	25.0956	68
25.2256	26.8866	62
25.2286	27.0976	64
25.2286	27.7686	47
25.2296	25.4316	56
25.4316	25.6376	54
25.6406	25.8466	52
25.8506	26.0576	54
26.0576	26.2676	56
26.2686	26.3406	57
26.4706	26.5516	59
26.6776	26.7546	60
26.8876	27.7725	62
27.0976	27.7725	64
27.3176	27.3916	66
27.5306	27.6256	68
27.7736	27.8215	57
27.7765	27.8245	38
27.9795	28.0316	59
28.1816	28.2275	65
28.1826	28.2305	69
28.1856	28.2315	60
28.1865	28.2315	45
28.1865	28.2345	53
28.3815	28.4346	62
28.5946	28.7635	59
28.5956	28.7976	38
28.7985	28.8956	59
28.8965	28.9946	60
28.9946	29.1865	69
28.9975	29.1875	65
28.9975	29.1875	59
28.9985	29.0395	53
29.0016	29.0435	45
29.1895	29.3445	57
29.3995	29.4765	59
29.4005	29.6035	38
29.8025	29.9635	65
29.8035	29.9635	69
29.8035	29.9675	60
29.8055	29.8615	53
29.8065	29.8625	45
30.2365	30.4395	59
30.2375	30.2855	38
30.4405	30.6465	60
30.6465	31.0385	72
30.6475	31.0385	69
30.6475	30.7435	62
30.6495	30.6915	54
30.6495	30.6915	45
30.8415	30.9405	64
31.0385	31.1355	66
31.0415	31.2375	38
31.2375	31.2975	66
31.3005	31.3625	67
31.3635	31.4265	66
31.4275	31.8325	72
31.4275	31.8335	69
31.4295	31.6265	64
31.4305	31.4785	54
31.4305	31.4795	45
31.6265	31.8355	62
31.8355	32.0035	60
31.8395	32.0325	38
32.0325	32.2035	62
32.2355	32.6585	64
32.2365	32.6585	72
32.2365	32.6585	69
32.2365	32.2875	54
32.2385	32.2875	45
32.6625	32.7035	69
32.6625	32.7045	38
32.8615	32.9145	71
33.0645	33.1095	65
33.0655	33.1105	62
33.0655	33.1135	72
33.0675	33.1135	45
33.0685	33.1145	53
33.2605	33.3135	74
33.4775	33.6455	71
33.4775	33.6805	38
33.6815	33.7785	71
33.7795	33.8765	72
33.8765	34.0685	62
33.8775	34.0695	65
33.8805	34.0695	71
33.8805	33.9225	53
33.8815	33.9225	45
34.0725	34.2305	69
34.2855	34.3595	71
34.2865	34.4855	38
34.6895	34.8535	65
34.6915	34.8535	62
34.6925	34.8535	72
34.6925	34.7405	53
34.6955	34.7445	45
35.1195	35.3215	71
35.1195	35.1715	38
35.3225	35.5255	72
35.5285	35.9205	72
35.5285	35.9215	69
35.5295	35.6225	74
35.5295	35.6265	62
35.7205	35.8195	76
35.7245	35.8225	64
35.9215	36.0185	78
35.9235	36.0225	66
36.1165	36.1795	78
36.1205	36.1795	66
36.1835	36.2425	79
36.1865	36.2465	67
36.2465	36.3085	78
36.2495	36.3125	66
36.3135	36.5125	76
36.3135	36.5125	64
36.5155	36.7185	74
36.5155	36.7225	62
36.7255	36.9245	72
36.7255	36.9255	60
36.9255	37.1385	74
36.9285	37.1385	62
37.1425	37.9645	76
37.1425	37.9655	64
37.5545	37.7545	69
37.5595	37.7545	72
37.5595	37.7555	57
37.5625	37.7585	60
37.7585	37.9655	74
37.7595	37.9675	62
37.9675	38.3355	67
37.9685	38.3364	71
37.9685	38.3395	76
37.9715	38.3405	55
37.9725	38.3405	59
37.9745	38.3405	64
38.3705	38.7834	66
38.3715	38.5745	69
38.3715	38.7834	54
38.3715	38.5745	57
38.5774	38.7844	71
38.5774	38.7874	59
38.7874	39.1994	65
38.7874	39.2004	68
38.7884	39.5844	72
38.7904	39.2004	53
38.7904	39.2044	56
38.7904	39.5854	60
39.2044	39.5184	64
39.2074	39.5224	67
39.2074	39.5224	52
39.2074	39.5234	55
39.6234	40.4504	68
39.6244	40.0364	63
39.6264	40.0364	66
39.6274	40.0374	51
39.6274	40.0374	54
39.6274	40.4504	56
40.0404	40.3444	65
40.0414	40.3454	62
40.0414	40.3454	50
40.0434	40.3484	53
40.4504	42.8464	64
40.4524	40.6104	61
40.4534	42.8474	52
40.4534	40.6114	49
40.8764	41.0414	60
40.8804	41.0414	48
41.3104	41.4814	59
