OnsetTime	OffsetTime	MidiPitch
0.518994	1.47801	78
0.637991	1.47801	50
0.767997	1.47801	56
0.889998	1.47801	68
0.892988	1.47801	59
1.01299	1.47801	69
1.01599	1.47801	66
1.129	1.47801	70
1.24401	1.47801	71
1.36601	1.47801	72
1.477	1.59001	73
1.59301	1.70901	74
1.70901	1.82502	75
1.82502	1.93601	76
1.93701	2.41301	81
2.05201	2.41301	76
2.05302	2.41301	49
2.16802	2.41301	73
2.17102	2.41301	57
2.28001	2.41301	69
2.28302	2.41301	64
2.40702	2.881	67
2.52101	2.881	46
2.63999	2.881	52
2.756	2.881	76
2.759	2.881	61
2.872	3.347	68
2.98999	3.347	47
3.102	3.347	52
3.21801	3.347	76
3.22201	3.347	62
3.33699	3.808	67
3.455	3.808	46
3.56701	3.808	52
3.68001	3.808	76
3.681	3.808	61
3.799	4.28499	68
3.92099	4.28499	47
4.033	4.28499	52
4.14499	4.28499	77
4.14599	4.28499	62
4.28199	5.24001	78
4.39998	5.24001	50
4.53098	5.24001	56
4.65398	5.24001	68
4.65598	5.24001	59
4.77498	5.24001	69
4.77798	5.24001	66
4.89098	5.24001	70
5.006	5.24001	71
5.122	5.24001	72
5.237	5.35601	73
5.35601	5.468	74
5.471	5.587	75
5.587	5.696	76
5.696	6.18398	81
5.81501	6.18398	76
5.81501	6.18398	49
5.927	6.18398	73
5.927	6.18398	57
6.04199	6.18398	69
6.04199	6.18398	64
6.18298	7.14397	85
6.30097	7.14397	57
6.42797	7.14397	63
6.54997	7.14397	75
6.55298	7.14397	66
6.67897	7.14397	76
6.68297	7.14397	73
6.78796	7.14397	77
6.90997	7.14397	78
7.02597	7.14397	79
7.14198	7.25299	80
7.25299	7.36799	81
7.369	7.484	82
7.487	7.59999	83
7.60299	8.07198	88
7.71199	8.07198	83
7.71199	8.07198	56
7.82799	8.07198	80
7.82999	8.07198	64
7.94598	8.07198	76
7.94598	8.06798	71
8.06798	9.00996	71
8.18798	9.00996	47
8.29998	9.00996	56
8.41597	9.00996	80
8.41797	8.99997	64
8.53196	9.00996	68
8.87696	9.00996	76
8.99997	9.35697	64
9.12197	9.98596	47
9.23798	9.98596	55
9.35398	9.98596	73
9.35697	9.98596	64
9.48398	9.98596	61
9.84697	9.98596	70
9.97997	11.107	60
10.112	11.107	47
10.246	11.107	54
10.376	11.107	69
10.378	11.107	63
10.516	11.107	57
10.935	11.107	66
11.09	11.88	56
11.239	11.88	40
11.387	11.88	47
11.534	11.88	64
11.701	11.88	28
12.359	13.326	78
12.489	13.326	50
12.611	13.326	56
12.734	13.326	68
12.738	13.326	59
12.857	13.326	69
12.858	13.326	66
12.976	13.326	70
13.091	13.326	71
13.211	13.326	72
13.325	13.434	73
13.438	13.549	74
13.554	13.668	75
13.669	13.784	76
13.784	14.257	81
13.893	14.257	76
13.896	14.257	49
14.011	14.257	73
14.012	14.257	57
14.127	14.257	69
14.131	14.257	64
14.254	14.722	67
14.369	14.722	46
14.481	14.722	52
14.597	14.722	76
14.599	14.722	61
14.713	15.187	68
14.834	15.187	47
14.943	15.187	52
15.063	15.187	76
15.065	15.187	62
15.178	15.653	67
15.296	15.653	46
15.412	15.653	52
15.528	15.653	76
15.528	15.653	61
15.644	16.126	68
15.762	16.126	47
15.874	16.126	52
15.99	16.126	77
15.993	16.126	62
16.126	17.089	78
16.244	17.089	50
16.371	17.089	56
16.497	17.089	68
16.498	17.089	59
16.617	17.089	69
16.619	17.089	66
16.738	17.089	70
16.854	17.089	71
16.969	17.089	72
17.088	17.193	73
17.197	17.312	74
17.316	17.427	75
17.432	17.546	76
17.547	18.026	81
17.655	18.026	76
17.656	18.026	49
17.775	18.026	73
17.775	18.026	57
17.889	18.026	69
17.89	18.026	64
18.023	18.986	85
18.148	18.986	57
18.271	18.986	63
18.394	18.986	75
18.398	18.986	66
18.523	18.986	76
18.524	18.986	73
18.639	18.986	77
18.755	18.986	78
18.867	18.986	79
18.985	19.1	80
19.101	19.216	81
19.216	19.328	82
19.328	19.443	83
19.444	19.92	88
19.559	19.92	83
19.56	19.92	56
19.671	19.92	80
19.672	19.92	64
19.787	19.92	76
19.79	19.916	71
19.916	20.858	71
20.028	20.858	47
20.141	20.858	56
20.257	20.858	80
20.259	20.841	64
20.379	20.858	68
20.722	20.858	76
20.841	21.205	64
20.963	21.832	47
21.089	21.832	55
21.204	21.832	73
21.205	21.832	64
21.327	21.832	61
21.691	21.832	70
21.831	22.947	60
21.957	22.947	47
22.093	22.947	54
22.219	22.947	69
22.22	22.947	63
22.363	22.947	57
22.783	22.947	66
22.933	23.85	56
23.076	23.85	40
23.227	23.85	47
23.375	23.85	64
23.606	23.85	28
24.515	25.975	67
24.644	26.44	47
24.778	26.44	55
24.911	25.517	71
24.915	26.44	62
25.041	25.401	74
25.163	25.402	79
25.285	26.44	73
25.401	25.632	74
25.402	25.632	79
25.517	25.863	71
25.632	25.866	74
25.632	26.44	79
25.748	26.44	69
25.863	26.083	71
25.866	26.087	74
25.975	26.44	67
26.083	26.311	71
26.087	26.314	74
26.203	26.44	66
26.311	26.44	71
26.314	26.44	74
26.44	26.923	65
26.559	26.923	49
26.679	26.923	59
26.794	26.923	68
26.797	26.923	73
26.917	27.399	66
27.035	27.399	49
27.155	27.399	61
27.27	27.399	69
