OnsetTime	OffsetTime	MidiPitch
0.517989	0.612992	65
0.603001	0.693003	66
0.674992	0.770009	65
0.748994	0.843998	67
0.826014	0.920991	68
0.903006	0.993987	69
0.98299	1.07799	68
1.05699	1.15201	70
1.134	1.22502	71
1.211	1.30203	72
1.28401	1.37903	71
1.36102	1.45302	73
1.43504	1.53004	74
1.51603	1.60304	75
1.59204	1.68003	74
1.66903	1.75402	76
1.74302	1.83101	77
1.82001	1.908	78
1.89402	1.981	77
1.93201	3.82709	53
1.97	2.05801	79
1.97101	2.64604	59
2.00501	2.64705	62
2.041	2.13202	80
2.041	2.94007	68
2.11401	2.20903	81
2.19102	2.28504	80
2.26804	2.35903	82
2.34105	2.43604	83
2.41504	2.50606	84
2.49204	2.57905	83
2.56905	2.65605	86
2.60405	3.52909	60
2.64705	2.73005	84
2.64705	3.23708	63
2.71304	2.80705	85
2.79005	2.88407	84
2.86406	2.95407	86
2.94107	3.02806	87
2.94307	3.23809	67
3.01306	3.10106	89
3.08406	3.17908	87
3.16107	3.24808	90
3.23809	3.38109	91
3.23908	3.82709	63
3.30707	3.82709	92
3.38109	3.82709	91
3.45809	3.82709	95
3.52909	3.67508	96
3.52909	3.82709	60
3.60108	3.82709	97
3.67508	3.82709	96
3.74508	3.83608	98
3.82609	3.97007	99
3.89308	4.99503	98
3.97007	4.99503	99
4.03907	4.99503	97
4.11308	4.26006	96
4.18307	4.99503	95
4.26006	4.99503	96
4.33406	4.99503	94
4.40306	4.55105	93
4.48105	4.99503	92
4.55105	4.99503	93
4.62704	4.99503	91
4.70104	4.84504	90
4.77404	4.99503	89
4.84504	4.99503	90
4.92203	4.99503	88
4.99103	5.14201	87
5.06502	5.55798	86
5.14201	5.55798	87
5.21202	5.55798	85
5.28601	5.432	84
5.35501	5.55798	83
5.432	5.55798	84
5.43301	7.32596	53
5.464	6.17696	57
5.50899	5.575	82
5.51	6.17696	60
5.54	6.17696	63
5.579	5.72598	81
5.57999	6.79295	66
5.65299	6.17696	80
5.72598	6.17696	81
5.80398	6.17696	79
5.87698	6.03096	78
5.95496	6.17696	77
6.03096	6.17696	78
6.10096	6.17696	75
6.13896	7.12296	58
6.17496	6.33196	74
6.17496	6.79796	62
6.25096	6.49194	73
6.33196	6.49194	74
6.40496	6.49194	72
6.48294	6.63594	70
6.48395	6.79796	65
6.56294	6.76895	69
6.63594	6.76895	70
6.71994	6.79796	68
6.79895	6.95795	67
6.80095	7.44795	61
6.87794	7.44894	66
6.95795	7.28396	67
7.03895	7.36396	65
7.12296	7.44894	73
7.12296	7.40695	58
7.20296	7.44894	70
7.28396	7.44894	67
7.32596	7.81496	53
7.36396	7.44894	65
7.36495	7.81895	55
7.40695	7.81995	58
7.44495	7.81995	64
7.44795	7.81995	61
8.11996	8.73891	97
8.12096	8.49994	88
8.12096	8.42194	91
8.19795	8.73891	94
8.27095	8.73891	90
8.27195	8.65592	81
8.27395	8.57893	84
8.34794	8.73891	87
8.42194	8.73891	91
8.42194	8.72991	85
8.42394	8.73891	82
8.49994	8.73891	88
8.57893	8.73891	84
8.57992	8.73891	75
8.58192	8.73891	78
8.65592	8.73891	81
8.72991	9.32389	85
8.72991	9.11388	76
8.73191	9.0379	79
8.80591	9.32389	82
8.8869	9.32389	78
8.88791	9.19489	72
8.88791	9.27188	69
8.96389	9.32389	75
9.0379	9.32389	79
9.0379	9.32389	73
9.0379	9.32389	70
9.11388	9.32389	76
9.19489	9.32389	72
9.19588	9.32389	63
9.19588	9.32389	66
9.27188	9.34187	69
9.34587	9.66787	73
9.34587	9.59687	64
9.34687	9.66787	67
9.42187	9.66787	70
9.50687	9.66787	66
9.50987	9.66787	57
9.51086	9.66787	60
9.59687	9.67386	64
9.67487	9.83187	64
9.67787	9.83286	67
9.67787	9.83286	58
9.67787	9.83486	61
10.0449	10.1429	41
10.2449	10.3259	85
10.2459	10.3259	76
10.2459	10.3259	73
10.2479	10.3269	53
10.2479	10.3289	67
10.2479	10.3289	58
10.2489	10.3289	61
10.4049	10.4859	84
10.4059	10.4869	73
10.4059	10.4899	76
10.4089	10.4899	58
10.4099	10.4909	61
10.4099	10.4929	53
10.4099	10.4939	67
10.5739	10.6549	83
10.5739	10.6549	76
10.5769	10.6579	73
10.5769	10.6579	67
10.5779	10.6579	53
10.5779	10.6619	58
10.5809	10.6619	61
10.7379	10.8288	73
10.7388	10.8299	82
10.7388	10.8299	76
10.7399	10.8328	67
10.7408	10.8328	53
10.7419	10.8339	61
10.7419	10.8339	58
10.9169	11.0039	76
10.9169	11.0049	73
10.9179	11.0049	85
10.9199	11.0069	67
10.9199	11.0079	61
10.9199	11.0079	58
10.9208	11.0089	53
11.0838	11.2598	73
11.0849	11.2529	84
11.0849	11.2598	76
11.0878	11.4268	67
11.0888	11.4278	53
11.0888	11.4278	61
11.0908	11.4308	58
11.1728	11.2608	83
11.2628	11.3398	82
11.7708	12.6978	99
11.7718	12.0778	93
11.7718	12.1558	90
11.8478	12.6978	96
11.9218	12.6978	92
11.9228	12.3078	83
11.9238	12.2288	86
11.9998	12.6978	89
12.0778	12.6978	93
12.0788	12.4578	84
12.0788	12.3798	87
12.1558	12.6978	90
12.2288	12.6978	86
12.2298	12.5338	80
12.2328	12.6138	77
12.3078	12.6978	83
12.3798	12.6978	87
12.3798	12.6978	78
12.3828	12.6878	81
12.4578	12.6978	84
12.5338	12.6978	80
12.5368	12.6978	74
12.5408	12.6978	71
12.6138	12.6978	77
12.6878	13.3167	81
12.6878	13.0738	72
12.6908	12.9958	75
12.7658	13.3167	78
12.8428	13.3167	74
12.8448	13.2307	65
12.8458	13.1527	68
12.9228	13.3167	71
12.9958	13.3167	75
12.9968	13.3047	69
12.9988	13.3037	66
13.0738	13.3167	72
13.1527	13.3167	68
13.1537	13.3167	62
13.1537	13.3167	59
13.2307	13.3167	65
13.3037	13.4647	66
13.3047	13.4647	69
13.3047	13.4657	60
13.3067	13.4677	63
13.9407	14.0347	41
14.1327	14.2177	90
14.1327	14.2207	81
14.1367	14.2237	78
14.1367	14.2247	60
14.1377	14.2247	63
14.1377	14.2257	69
14.3007	14.3817	89
14.3017	14.3827	81
14.3017	14.3847	78
14.3037	14.3857	69
14.3047	14.3857	60
14.3047	14.3887	63
14.4657	14.5497	78
14.4657	14.5497	81
14.4667	14.5537	88
14.4667	14.5537	63
14.4677	14.5537	60
14.4687	14.5567	69
14.6297	14.7177	78
14.6307	14.7187	87
14.6327	14.7207	81
14.6337	14.7217	69
14.6367	14.7247	60
14.6377	14.7247	63
14.8117	14.8987	81
14.8117	14.8997	90
14.8127	14.8997	78
14.8157	14.9027	69
14.8157	14.9037	60
14.8167	14.9037	63
14.9797	15.1377	89
14.9807	15.1477	78
14.9807	15.1477	81
14.9827	15.3227	69
14.9837	15.3237	60
14.9837	15.3237	63
15.0687	15.1487	88
15.1517	15.2357	87
15.5197	15.5987	87
15.5197	15.5997	75
15.5227	15.6037	78
15.5227	15.6037	60
15.5227	15.6037	63
15.5237	15.6057	69
15.6867	15.7747	86
15.6907	15.7777	75
15.6907	15.7787	78
15.6917	15.7787	69
15.6917	15.7817	60
15.6937	15.7817	63
15.8547	15.9417	85
15.8587	15.9427	75
15.8587	15.9457	78
15.8587	15.9467	63
15.8627	15.9467	60
15.8627	15.9487	69
16.0297	16.1247	78
16.0297	16.1247	84
16.0307	16.1257	75
16.0337	16.1277	60
16.0347	16.1277	69
16.0367	16.1277	63
16.2147	16.3027	75
16.2157	16.3037	78
16.2197	16.3037	87
16.2197	16.3067	63
16.2197	16.3077	69
16.2207	16.3077	60
16.3907	16.6287	86
16.3917	16.6287	75
16.3917	16.6287	78
16.3937	16.7507	69
16.3937	16.7507	63
16.3947	16.7507	60
16.4787	16.6287	85
16.5727	16.6567	84
16.9287	17.0167	84
16.9297	17.0207	75
16.9327	17.0207	72
16.9337	17.0217	66
16.9337	17.0217	63
16.9357	17.0237	69
17.0977	17.3877	83
17.0977	17.3877	72
17.1007	17.3877	75
17.1007	17.4647	63
17.1017	17.4657	66
17.1047	17.4657	69
17.1927	17.3877	82
17.2877	17.3877	81
17.6577	17.7487	75
17.6587	17.7487	72
17.6587	17.7497	81
17.6587	17.7527	66
17.6607	17.7527	69
17.8317	18.0497	80
17.8367	18.0497	75
17.8387	18.0497	72
17.8397	18.2167	66
17.8397	18.2177	69
17.9347	18.0497	79
18.0297	18.1267	78
18.4107	18.5007	77
18.4107	18.5037	72
18.4107	18.5047	69
18.4137	18.5087	75
18.6027	18.6937	75
18.6037	18.6937	78
18.6037	18.6967	72
18.7887	18.8787	72
18.7887	18.8827	77
18.7897	18.8837	69
18.7917	18.8837	75
18.9737	19.0647	75
18.9737	19.0687	79
18.9767	19.0687	72
19.1587	19.2537	77
19.1597	19.2547	72
