OnsetTime	OffsetTime	MidiPitch
0.532996	1.58799	70
0.534994	1.592	67
0.534994	2.64498	51
1.58599	2.15898	68
1.58599	2.15898	65
2.10999	2.68098	63
2.11398	2.68098	67
2.63798	3.18397	68
2.64198	3.18896	72
3.13898	3.68497	67
3.13898	3.68597	70
3.68897	4.69997	70
3.68997	4.69997	67
3.68997	4.70397	51
4.70397	5.70097	65
4.70497	5.70097	68
4.70697	5.70196	53
5.70497	6.74496	63
5.70497	6.74496	67
5.70597	6.74596	55
6.74796	7.77295	64
6.74796	7.77396	58
6.74895	7.77396	61
7.77596	8.29796	65
7.77695	8.81195	60
7.77695	8.81295	56
8.30195	8.81295	72
8.81395	9.06495	70
9.06495	9.32095	68
9.32395	9.57595	67
9.57895	9.83494	65
9.83595	10.9059	55
9.83595	10.9089	63
9.83694	10.0999	45
10.1009	10.3699	46
10.3739	10.6399	48
10.6399	10.9099	46
10.9099	11.1679	53
10.9129	11.1689	62
10.9129	11.9559	46
11.3019	11.4339	58
11.4349	11.5599	62
11.5639	11.6959	60
11.6969	11.8299	63
11.8299	11.9599	62
11.9599	12.0919	65
12.0929	12.2179	63
12.2179	12.3509	67
12.3519	12.4809	65
12.4809	12.6139	68
12.6139	12.7399	67
12.7439	12.8659	70
12.8689	12.9949	68
12.9959	13.1279	72
12.9979	14.0519	39
12.9989	14.0559	51
13.1319	14.0559	67
13.1329	13.7899	70
13.7929	13.9189	72
13.9199	14.0569	70
14.0569	14.3179	68
14.3209	14.5839	67
14.5869	14.8539	65
14.8539	15.1269	63
15.1269	15.3859	79
15.1299	16.1769	51
15.1309	16.1769	60
15.3889	15.6549	74
15.6559	15.9139	75
15.9169	16.1809	72
16.1809	17.2509	70
16.1839	17.2518	60
16.1839	17.2518	53
17.2548	17.4478	70
17.2558	18.3078	58
17.2558	18.3088	62
17.3488	17.5478	68
17.4478	17.6468	70
17.5478	17.7448	68
17.6468	17.8428	70
17.7448	17.9478	68
17.8428	18.2728	70
17.9478	18.1758	68
18.0418	18.2728	67
18.1758	18.3088	68
18.3118	18.4488	67
18.3128	18.8478	60
18.3128	18.8478	63
18.5848	18.8488	75
18.8508	19.1138	74
19.1138	19.3828	73
19.3828	19.6948	71
19.3838	20.6428	44
19.3868	20.6428	56
19.6208	19.6978	74
19.6978	19.9988	72
19.9218	19.9988	70
19.9998	20.2998	68
20.2228	20.2998	67
20.3008	20.6438	65
20.6458	22.4238	63
20.6468	23.0338	46
20.6468	21.8258	55
21.8268	23.0338	56
22.4248	22.7248	67
22.4258	23.0348	62
22.7258	23.0358	65
23.0368	24.0898	63
23.0398	23.2998	51
23.3028	23.5618	55
23.5618	23.8238	58
23.8248	24.0908	55
24.0908	25.1338	51
24.3528	24.8748	55
24.6188	25.1328	67
24.6188	25.1338	70
24.6228	25.6448	58
24.8748	25.3848	55
25.1328	25.6438	67
25.1338	25.6448	70
25.1338	26.1848	51
25.3848	25.9068	55
25.6438	26.1868	67
25.6448	26.1868	70
25.6448	26.1868	58
25.9068	26.1868	55
26.1838	27.7628	68
26.1838	26.7078	75
26.1848	26.6268	51
26.4418	26.7088	53
26.7088	27.7628	74
26.7118	27.7628	56
26.9718	27.4998	53
27.2338	27.7628	51
27.4998	27.7628	53
27.7628	28.2868	82
27.7628	28.2868	56
28.0148	28.2868	80
28.0168	28.2868	53
28.2698	29.2958	79
28.2728	29.2948	51
28.5258	29.2918	77
28.5288	29.0388	53
28.7818	29.2958	75
28.7838	29.2958	56
29.0368	29.2958	74
29.0388	29.2958	53
29.2918	29.4668	77
29.2948	29.5568	51
29.3788	29.4968	75
29.4668	29.5618	77
29.5618	30.0828	75
29.5628	29.8188	55
29.8198	30.0828	58
30.0838	30.2078	74
30.0838	30.3408	55
30.2088	30.3408	72
30.3418	30.8658	70
30.3448	30.6038	51
30.6048	30.8667	55
30.8667	31.3788	67
30.8678	31.3808	70
30.8698	31.8927	58
31.1188	31.6328	55
31.3788	31.8918	67
31.3808	31.8898	70
31.3808	32.4138	51
31.6328	32.1478	55
31.8898	32.4138	70
31.8918	32.4138	67
31.8927	32.4138	58
32.1478	32.4138	55
32.4107	34.5447	68
32.4138	32.9447	75
32.4138	32.9447	51
32.6688	32.9447	53
32.9317	34.5447	74
32.9347	33.4837	56
33.1907	33.4837	53
33.4537	34.4897	51
33.7157	34.2337	53
33.9777	34.5447	82
33.9787	34.5447	56
34.2327	34.5447	80
34.2337	34.5447	53
34.4897	35.5007	79
34.4897	35.5007	51
34.7377	35.5007	77
34.7397	35.2517	53
34.9927	35.4977	75
34.9937	35.5007	56
35.2497	35.5007	74
35.2517	35.5007	53
35.4977	35.8407	75
35.4997	36.5118	55
35.5007	36.5127	51
35.7527	36.0287	77
35.8407	36.0077	75
35.9207	36.0287	74
36.0077	36.3868	75
36.1307	36.3878	77
36.2568	36.3878	79
36.3868	36.5148	75
36.5158	36.7668	70
37.0158	37.5618	70
37.0168	37.5618	67
37.0198	37.5658	58
37.0198	37.5658	55
37.5687	38.1287	65
37.5687	38.1317	68
37.5698	38.1357	56
37.5698	38.1357	60
38.1367	38.7517	63
38.1367	38.7527	67
38.1397	38.7547	57
38.1397	38.7557	60
38.7557	39.8897	63
38.7587	39.6047	70
38.7597	39.8927	58
39.6057	39.8927	67
39.8927	41.0057	62
39.8967	41.0067	65
40.4597	41.0087	58
41.0087	41.5457	53
41.5457	42.0768	50
41.9467	42.0807	65
42.0837	43.6627	77
42.0837	43.6627	46
42.6097	43.6627	50
43.1307	43.6627	53
43.6597	44.2427	75
43.6627	44.2427	58
43.7917	44.2427	74
43.9277	44.2427	72
44.0547	44.2427	70
44.1877	44.7437	69
44.1907	44.7437	63
44.7167	45.2487	70
44.7197	45.2487	62
45.2447	45.8777	72
45.2477	45.8777	69
45.2477	45.8777	63
45.2487	45.8777	60
45.7977	45.9267	75
45.8017	46.4107	70
45.8017	46.4107	62
45.8027	46.4107	58
45.9307	46.1897	74
46.0597	46.3257	72
46.1897	46.4107	74
46.3257	46.8507	72
46.3297	46.8517	75
46.3297	46.8517	60
46.3307	46.8537	57
46.8537	47.3977	65
47.3977	47.9427	65
47.9427	48.4887	65
48.4897	50.0717	75
49.0097	50.0717	53
49.5387	50.0717	57
50.0677	50.6057	77
50.0707	50.6057	60
50.2007	50.6057	75
50.3337	50.6057	74
50.4637	50.6057	72
50.5997	51.1247	70
50.5997	51.1257	62
51.1257	51.6567	69
51.1277	51.6567	72
51.1287	51.6567	63
51.1287	52.2787	65
51.6547	52.2787	74
51.6567	52.2787	70
51.6567	52.2787	62
52.2027	52.3277	77
52.2027	52.8007	72
52.2037	52.8007	60
52.2057	52.8007	63
52.3327	52.6057	75
52.4717	52.7427	74
52.6057	52.8007	75
52.7427	53.2147	74
52.7427	53.2147	77
52.7447	53.2697	62
52.7457	53.2707	58
53.2727	53.8197	46
53.8197	54.3617	46
54.3627	54.9077	46
54.9087	56.4867	80
55.4297	55.9577	50
55.9587	56.4907	53
56.4907	56.6197	79
56.4907	57.0147	56
56.6207	56.7527	77
56.7557	56.8817	75
56.8827	57.0187	74
57.0187	57.5707	75
57.0197	57.5717	55
57.5747	57.8687	77
57.5757	57.8697	50
58.1587	59.7687	78
58.6947	59.2307	58
58.6947	59.2337	51
59.2377	59.7697	58
59.2387	59.7697	51
59.7707	60.0187	80
59.7727	60.2837	59
59.7737	60.2837	51
60.0187	60.2847	79
60.2877	60.5397	77
60.2877	60.8047	51
60.2887	60.8057	60
60.5407	60.8087	75
60.8097	61.0547	74
60.8097	61.3137	57
60.8127	61.3137	51
61.0577	61.3147	72
61.3147	61.4847	77
61.3167	61.8277	58
61.3167	61.8287	50
61.4877	61.6527	76
61.6567	61.8287	77
61.8317	62.0027	79
61.8317	62.3657	51
61.8347	62.3707	58
62.0027	62.1707	67
62.1717	62.3707	75
62.3707	63.4237	70
62.3737	62.8947	53
62.3737	62.8947	62
62.8987	63.4247	62
62.8997	63.4267	53
63.4267	64.4976	69
63.4307	63.6857	74
63.4317	63.9597	63
63.4317	63.9597	53
63.6867	63.9627	72
63.9627	64.2257	70
63.9637	64.4976	63
63.9637	64.4987	53
64.2257	64.5017	72
64.5017	65.5556	70
64.5026	65.0276	62
64.5046	64.7616	58
64.7616	65.4426	58
65.0276	65.4426	62
65.2966	65.5556	65
65.5556	65.8136	63
65.8176	66.0836	65
66.0846	66.6046	70
66.0866	66.6056	77
66.0866	66.5486	62
66.3456	66.6076	65
66.6086	67.1336	77
66.6116	67.1336	72
66.6126	67.0286	60
66.8716	67.1346	65
67.1376	67.6806	74
67.1376	67.6766	77
67.1406	67.6806	58
67.3996	67.6806	65
67.6766	68.4606	77
67.6796	69.2406	75
67.6806	68.2316	57
67.9356	68.2316	60
68.1976	68.6416	63
68.3246	68.6416	79
68.4606	68.6416	77
