OnsetTime	OffsetTime	MidiPitch
0.522991	0.644991	69
0.645984	0.760997	71
0.760997	0.882997	72
0.884003	0.999003	71
0.999003	1.12001	72
1.121	1.243	74
1.24401	1.60701	76
1.24401	1.60701	64
1.359	1.60701	66
1.482	1.60701	68
1.60501	1.71999	69
1.60701	1.71999	66
1.721	1.84199	71
1.723	1.843	68
1.843	1.95701	72
1.845	1.958	69
1.958	2.322	71
2.08	2.202	72
2.20301	2.32501	74
2.32601	2.68901	76
2.329	2.68901	64
2.44101	2.68701	66
2.56402	2.68901	68
2.68602	2.80402	69
2.68701	2.80502	66
2.80802	2.92002	71
2.80903	2.92301	68
2.92301	3.04301	72
2.92401	3.04301	69
3.04601	3.40303	71
3.16502	3.28103	72
3.28202	3.40303	74
3.40303	3.52503	72
3.40702	3.52602	69
3.52602	3.64103	74
3.52902	3.64103	71
3.64203	3.76303	76
3.64503	3.76403	72
3.76403	3.88604	77
3.76703	3.88703	74
3.88703	4.00205	79
3.88903	4.00205	76
4.00304	4.12405	81
4.00504	4.12504	77
4.12504	4.24704	79
4.12704	4.24805	76
4.24805	4.36103	77
4.24805	4.36204	74
4.36204	4.48404	76
4.36303	4.48503	72
4.48503	4.60404	74
4.48804	4.60705	71
4.60705	4.72205	72
4.60804	4.72305	69
4.72305	4.84804	71
4.72604	4.85204	67
4.85204	4.97805	69
4.85304	4.98905	65
4.97805	5.09703	71
5.09804	5.22704	72
5.22704	5.34603	71
5.23003	5.36604	60
5.34904	5.46804	69
5.47104	5.59104	67
5.59104	5.97304	65
5.59405	5.97304	57
5.72105	5.97205	64
5.84305	5.97304	63
5.97205	6.32904	64
5.97205	6.08403	56
6.08704	6.20704	54
6.20704	6.32904	52
6.33004	6.45104	51
6.45204	6.57404	49
6.57404	6.69605	47
6.69705	6.81205	59
6.69705	7.05306	57
6.81306	6.93506	61
6.93506	7.05405	63
7.05706	7.17605	64
7.05805	7.18006	56
7.18006	7.29906	66
7.18106	7.29906	54
7.30206	7.41706	68
7.30206	7.42207	52
7.42406	7.79205	69
7.42506	7.79205	51
7.53705	7.79205	49
7.66006	7.79205	47
7.78107	7.90107	59
7.78506	8.13907	57
7.90107	8.01907	61
8.02006	8.13907	63
8.14207	8.25807	64
8.14307	8.25807	56
8.25807	8.37607	66
8.26108	8.37708	54
8.38007	8.50608	68
8.38108	8.50608	52
8.50707	8.86307	69
8.51008	8.85308	51
8.62608	8.85308	49
8.74508	8.86707	47
8.86707	8.98208	59
8.87007	9.22009	57
8.98507	9.10509	61
9.10509	9.22009	63
9.22009	9.59809	64
9.22408	9.59809	56
9.34608	9.58809	66
9.34709	9.58809	54
9.46509	9.59809	68
9.46609	9.59809	52
9.58809	9.95607	66
9.58809	9.95607	54
9.71009	9.95207	68
9.71108	9.95507	52
9.82608	9.95607	69
9.82608	9.95607	51
9.95207	10.3161	68
9.95507	10.3151	52
10.0681	10.3131	69
10.0711	10.3161	51
10.1861	10.3161	71
10.1861	10.3161	50
10.3131	10.6761	69
10.3151	10.6761	52
10.4291	10.6661	71
10.4311	10.6691	50
10.5511	10.6761	72
10.5531	10.6761	48
10.6661	11.0371	71
10.6691	11.0371	50
10.7891	11.0271	72
10.7921	11.0291	48
10.9111	11.0371	74
10.9141	11.0371	47
11.0271	11.3971	72
11.0291	11.3971	48
11.1491	11.3971	74
11.1521	11.3971	47
11.2721	11.3971	76
11.2731	11.3971	45
11.3941	11.7651	77
11.3951	11.7681	44
11.5131	11.7691	76
11.5171	11.7691	45
11.6391	11.7691	74
11.6391	11.7691	47
11.7651	12.1321	77
11.7661	12.1301	83
11.7681	12.1321	38
11.7681	12.1331	44
11.8881	12.1391	76
11.8881	12.1391	45
12.0101	12.1391	74
12.0101	12.1391	47
12.1301	12.4981	83
12.1321	12.4971	77
12.1321	12.4981	38
12.1331	12.5001	44
12.2521	12.5041	76
12.2551	12.5041	45
12.3741	12.5041	74
12.3771	12.5041	47
12.4971	12.8701	77
12.4981	12.8681	83
12.4981	12.8711	38
12.5001	12.8711	44
12.6251	12.8781	76
12.6261	12.8781	45
12.7411	12.8781	74
12.7411	12.8781	47
12.8681	13.2461	83
12.8701	13.2471	77
12.8711	13.2471	38
12.8711	13.2481	44
12.9911	13.249	76
12.9931	13.249	45
13.1161	13.249	74
13.1191	13.249	47
13.2461	13.6241	83
13.2471	13.6231	77
13.2471	13.6271	38
13.2481	13.6271	44
13.3691	13.6271	76
13.3691	13.6271	45
13.4911	13.6271	74
13.4911	13.6271	47
13.6231	13.973	77
13.6241	13.973	83
13.6241	13.973	32
13.6271	13.973	44
13.7421	13.973	76
13.865	13.984	74
13.987	14.106	77
14.106	14.228	76
14.229	14.351	74
14.351	14.473	77
14.4741	14.6001	76
14.6031	14.7291	74
14.7291	14.8511	77
14.852	14.9781	76
14.981	15.108	74
15.108	15.2291	76
15.23	15.3561	74
15.3561	15.481	72
15.485	15.6041	74
15.6041	15.734	72
15.734	15.8591	71
15.8631	15.9821	69
15.9821	16.1041	71
16.1051	16.2271	72
16.2281	16.3501	71
16.3501	16.4721	72
16.4731	16.5911	74
16.5911	16.9561	76
16.5951	16.9561	64
16.7111	16.9551	66
16.8331	16.9561	68
16.9551	17.0671	69
16.9551	17.0711	66
17.0711	17.1901	71
17.0721	17.1931	68
17.1931	17.3051	72
17.1941	17.3091	69
17.3091	17.6661	71
17.4271	17.5431	72
17.5471	17.6691	74
17.6691	18.0371	76
17.6701	18.0371	64
17.7891	18.0371	66
17.9111	18.0371	68
18.0341	18.1481	69
18.0371	18.1491	66
18.1491	18.2681	71
18.1531	18.2711	68
18.2711	18.3931	72
18.2751	18.3941	69
18.3941	18.7541	71
18.5161	18.6281	72
18.6281	18.7551	74
18.7551	18.8731	72
18.7561	18.8741	69
18.8771	18.9891	74
18.8781	18.9891	71
18.9931	19.1111	76
18.9931	19.1121	72
19.1121	19.2271	77
19.1141	19.2271	74
19.2301	19.3491	79
19.2301	19.3501	76
19.3521	19.4721	81
19.3531	19.4751	77
19.4751	19.5941	79
19.4761	19.5941	76
19.5951	19.7091	77
19.5981	19.7101	74
19.7131	19.8321	76
19.7141	19.8331	72
19.8331	19.9481	74
19.8361	19.9481	71
19.9491	20.0701	72
19.9521	20.0711	69
20.0711	20.1961	71
20.0731	20.1961	67
20.2001	20.3251	69
20.2001	20.3361	65
20.3261	20.4481	71
20.4481	20.5671	72
20.5711	20.6891	71
20.5711	20.7071	60
20.6931	20.8121	69
20.8161	20.9421	67
20.9421	21.3171	65
20.9431	21.3171	57
21.0651	21.3131	64
21.1831	21.3171	63
21.3131	21.4351	64
21.3161	21.4361	55
21.4361	21.5541	66
21.4391	21.5541	54
21.5581	21.6761	67
21.5581	21.6771	52
21.6771	22.0411	69
21.6801	22.0411	51
21.8031	22.0411	49
21.9151	22.0411	47
22.0381	22.1601	59
22.0401	22.3981	57
22.1611	22.2751	61
22.2761	22.3991	63
22.4011	22.5201	64
22.4021	22.5201	55
22.5211	22.6351	66
22.5241	22.6361	54
22.6361	22.7621	67
22.6391	22.7621	52
22.7651	23.1271	69
22.7661	23.1271	51
22.8811	23.1271	49
23.0002	23.1271	47
23.1262	23.2442	59
23.1262	23.4832	57
23.2452	23.3602	61
