OnsetTime	OffsetTime	MidiPitch
0.517989	2.79999	67
0.521985	2.80098	79
0.521985	2.80098	43
0.521985	2.80298	31
2.80398	3.21298	71
3.21399	3.35197	72
3.35298	3.74897	74
3.91697	4.29797	74
4.46196	4.84397	74
5.00497	5.42496	72
5.42596	5.55796	74
5.55796	6.38696	75
6.38797	6.66095	74
6.66395	7.20996	72
7.21395	7.62396	74
7.62396	7.76295	72
7.76394	8.31594	71
8.31695	8.72495	69
8.72895	8.86594	71
8.86594	9.43594	72
9.43594	9.85294	74
9.85294	10.0059	75
10.0069	11.781	74
11.781	12.0579	62
11.785	12.0609	67
11.785	12.0609	71
11.785	12.0539	55
12.1939	12.2639	63
12.1949	12.2649	67
12.1949	12.2649	72
12.1959	12.2649	55
12.3309	12.6079	65
12.3319	12.6079	67
12.3339	12.6079	74
12.3339	12.6029	55
12.8689	13.1489	65
12.8739	13.1499	67
12.8739	13.1529	74
12.8759	13.1459	55
13.4229	13.6989	65
13.4229	13.6989	67
13.4259	13.6999	74
13.4259	13.6959	55
13.9689	14.2489	63
13.9689	14.2489	67
13.9719	14.2499	72
13.9719	14.2419	55
14.3819	14.4509	65
14.3819	14.4519	67
14.3829	14.4519	74
14.3849	14.4549	55
14.5209	15.4659	67
14.5219	15.4669	75
14.5219	14.6619	55
15.0529	15.1899	57
15.4699	15.5289	65
15.4709	15.5329	67
15.4709	15.5339	74
15.4729	15.5339	59
15.5999	15.8729	63
15.6029	15.8738	67
15.6039	15.8758	72
15.6039	15.8769	60
16.1519	16.4258	65
16.1528	16.4258	68
16.1528	16.4288	74
16.1559	16.4248	53
16.5588	16.6288	63
16.5598	16.6288	68
16.5618	16.6318	72
16.5618	16.6318	53
16.6978	16.9788	62
16.6988	16.9788	67
16.7018	16.9798	71
16.7018	17.6688	55
17.2478	17.5278	60
17.2518	17.5278	67
17.2518	17.5288	69
17.6688	17.7308	62
17.6698	17.7318	67
17.6698	17.7318	71
17.6718	17.7338	55
17.6718	17.7348	53
17.8008	18.0838	63
17.8018	18.0848	67
17.8018	18.0878	72
17.8048	18.0888	51
17.8058	18.0888	55
18.3888	18.6718	67
18.3898	18.6728	75
18.3898	18.6648	43
18.3918	18.6658	55
18.8128	18.8858	65
18.8128	18.8898	67
18.8138	18.8898	74
18.8138	18.8908	55
18.8158	18.8908	43
18.9598	20.7378	63
18.9638	20.7388	67
18.9638	20.7408	72
18.9668	20.7408	48
18.9668	20.7418	55
20.7418	21.1508	74
21.1518	21.2898	75
21.2908	21.6748	77
21.8468	22.2328	77
22.3998	22.7818	77
22.9418	23.3558	75
23.3568	23.4958	74
23.4958	24.3178	79
24.3188	24.5978	77
24.5988	25.1578	75
25.1588	25.5598	74
25.5608	25.7078	72
25.7078	26.2568	71
26.2608	26.6698	69
26.6698	26.8098	71
26.8108	27.3848	72
27.3848	27.8038	77
27.8048	27.9508	75
27.9548	29.7288	74
29.7328	30.0098	65
29.7328	30.0098	70
29.7338	30.0098	74
29.7358	30.0028	58
30.1418	30.2118	67
30.1428	30.2118	70
30.1458	30.2158	75
30.1468	30.2158	58
30.2828	30.5588	68
30.2828	30.5618	70
30.2838	30.5618	77
30.2858	30.5588	58
30.8318	31.1148	68
30.8348	31.1148	70
30.8348	31.1158	77
30.8358	31.1118	58
31.3838	31.6578	68
31.3848	31.6578	70
31.3848	31.6618	77
31.3878	31.6578	58
31.9308	32.2108	67
31.9308	32.2108	70
31.9318	32.2138	75
31.9348	32.2068	58
32.3428	32.4138	65
32.3438	32.4148	70
32.3438	32.4148	74
32.3448	32.4148	58
32.4798	33.4288	70
32.4808	33.4298	79
32.4838	32.6648	58
33.0148	33.1558	60
33.4298	33.4948	68
33.4318	33.4988	70
33.4318	33.5018	77
33.4328	33.5018	62
33.5658	33.8418	67
33.5688	33.8418	70
33.5688	33.8428	75
33.5698	33.8428	63
34.1108	34.3887	65
34.1148	34.3887	68
34.1157	34.3887	74
34.1178	34.3878	53
34.5177	34.5867	63
34.5207	34.5907	68
34.5207	34.5907	72
34.5217	34.5917	53
34.6637	34.9367	62
34.6647	34.9377	67
34.6677	34.9377	71
34.6687	35.6267	55
35.2167	35.4907	60
35.2177	35.4907	67
35.2177	35.4917	69
35.6297	35.6967	62
35.6307	35.6997	67
35.6307	35.7007	71
35.6337	35.7007	53
35.6347	35.7037	55
35.7667	36.0467	63
35.7667	36.0477	67
35.7677	36.0477	72
35.7697	36.0497	51
35.7697	36.0497	55
36.3577	36.6387	67
36.3617	36.6417	75
36.3627	36.6377	55
36.3627	36.6387	43
36.7817	36.8507	65
36.7817	36.8517	67
36.7857	36.8557	74
36.7857	36.8557	55
36.7867	36.8587	43
36.9287	38.7037	63
36.9297	38.7067	67
36.9297	38.7067	72
36.9317	38.7077	48
36.9327	38.7107	55
38.7117	39.1167	71
39.1167	39.2557	72
39.2567	39.6447	74
39.8087	40.2257	68
39.8097	40.2257	71
39.8097	40.1977	74
39.8107	40.2267	65
40.3587	40.7707	69
40.3587	40.7717	72
40.3587	40.7437	74
40.3627	40.7747	66
40.9047	41.4577	69
40.9057	41.3217	72
40.9057	41.4587	66
40.9077	41.4587	62
41.3247	41.4597	74
41.4607	41.5277	72
41.4617	43.0987	69
41.4617	43.0997	66
41.4647	42.2737	60
41.5287	41.5907	74
41.5907	42.2767	75
42.2767	42.5497	74
42.2777	42.5507	62
42.5507	43.0997	72
42.5507	43.1027	63
43.1037	43.6447	69
43.1037	43.5047	74
43.1057	43.6457	54
43.1067	43.6457	62
43.5087	43.6487	72
43.6487	44.1947	67
43.6487	44.1977	71
43.6527	44.1977	55
43.6527	44.2017	62
44.2017	44.6147	67
44.2027	44.6147	69
44.2027	44.6147	53
44.2057	44.6157	62
44.2057	44.6187	55
44.6187	44.7477	67
44.6197	44.7486	71
44.6217	44.7507	55
44.6217	44.7517	53
44.6217	44.7517	62
44.7517	45.3116	67
44.7557	45.3116	72
44.7557	45.3116	55
44.7557	45.3136	51
44.7576	45.3146	60
45.3146	45.7346	67
45.3156	45.7356	74
45.3186	45.7356	59
45.3186	45.7376	55
45.3186	45.7376	50
45.7386	45.8857	67
45.7416	45.8857	75
45.7416	45.8886	48
45.7426	45.8886	60
45.7426	45.8896	55
45.8926	47.6627	67
45.8926	47.6636	74
45.8936	47.6636	59
45.8936	47.6647	55
47.6667	48.2176	62
47.6676	48.0756	67
47.6676	48.2176	71
47.6687	48.0766	55
47.6696	48.0766	43
48.0726	48.2176	63
48.0756	48.2126	67
48.0766	48.2176	72
48.0766	48.2166	55
48.0766	48.2166	43
48.2116	48.7626	65
48.2126	48.7656	67
48.2156	48.7666	74
48.2166	48.7696	55
48.2166	48.7696	43
48.7626	49.3146	65
48.7656	49.3156	67
48.7666	49.3186	74
48.7696	49.3196	55
48.7696	49.3216	43
49.3146	49.8786	65
49.3156	49.8616	67
49.3186	49.8786	74
49.3196	49.8646	55
49.3216	49.8646	43
49.8606	50.4176	63
49.8616	50.2746	67
49.8646	50.4176	72
49.8646	50.2786	55
49.8646	50.2776	43
50.2736	50.4176	65
50.2746	50.4146	67
50.2746	50.4176	74
50.2776	50.4176	43
50.2786	50.4156	55
50.4146	51.3596	67
50.4146	51.3596	75
50.4156	50.9636	55
50.4176	50.9636	43
50.9456	51.0866	57
50.9496	51.0866	45
51.3626	51.4986	65
51.3636	51.4996	67
51.3636	51.5026	74
51.3636	51.5036	47
51.3666	51.5036	59
51.5036	52.0556	63
51.5056	52.0556	67
51.5066	52.0556	72
51.5066	52.0556	48
51.5076	52.0556	60
52.0456	52.6026	65
52.0456	52.4516	68
52.0466	52.6026	74
52.0486	52.4546	53
52.0486	52.4546	41
52.4516	52.6026	63
52.4516	52.6026	68
52.4546	52.6026	72
52.4546	52.6026	53
52.4546	52.6026	41
52.5946	53.1506	62
52.5976	53.1436	67
52.5976	53.1506	71
52.5986	53.1506	43
52.6016	53.1446	55
53.1406	53.7145	60
53.1436	53.5616	67
53.1446	53.7145	69
53.1446	53.5616	55
53.5606	53.7145	62
53.5616	53.7006	67
53.5616	53.7145	71
53.5616	53.7046	55
53.5636	53.7145	53
53.7006	54.2925	63
53.7006	54.2815	67
53.7015	54.2925	72
53.7015	54.2925	51
53.7046	54.2925	55
54.2815	54.7055	67
54.2815	54.8595	75
54.2826	54.7075	31
54.2826	54.7065	43
54.7055	54.8595	65
54.7055	54.8555	67
54.7055	54.8595	74
54.7065	54.8585	43
54.7075	54.8595	31
54.8515	56.6305	63
54.8555	56.6305	67
54.8565	56.6315	72
54.8585	56.6335	43
54.8585	56.6335	36
56.6335	57.0425	74
57.0435	57.1835	75
57.1835	57.5685	77
57.7325	58.1455	71
57.7335	58.1455	68
57.7355	58.1465	74
57.7365	58.1205	77
57.7395	58.1495	65
58.2855	58.6665	68
58.2855	58.6675	70
58.2865	58.6455	77
58.2885	58.6675	62
58.2895	58.6705	65
58.8005	59.4055	70
58.8035	59.4065	68
58.8035	58.9265	75
58.8045	59.4065	58
58.8045	59.4085	65
58.8595	58.9355	77
58.9265	59.2375	75
59.2375	59.4085	74
59.4095	59.9445	70
59.4125	59.9455	67
59.4125	60.3535	79
59.4135	59.9485	63
59.9485	60.4945	74
59.9485	60.4975	68
59.9515	60.5015	59
59.9525	60.5015	65
59.9525	60.5025	62
60.3575	60.5025	77
60.5045	61.0475	67
60.5045	61.0475	75
60.5055	61.0505	60
60.5055	61.0505	63
61.0515	61.4605	65
61.0545	61.5995	68
61.0555	61.4605	74
61.0555	61.6005	53
61.4615	61.6005	63
61.4635	61.6015	72
61.6045	62.1495	62
61.6045	62.1535	67
61.6045	62.1535	71
61.6065	62.1545	55
62.1565	62.5625	60
62.1565	62.5635	67
62.1575	62.5655	69
62.1575	62.5665	55
62.5665	62.7025	62
62.5705	62.7035	67
62.5705	62.7065	71
62.5705	62.7065	53
62.5735	62.7075	55
62.7075	63.2655	63
62.7095	63.2665	67
62.7095	63.2665	72
62.7105	63.2695	51
62.7105	63.2705	55
63.2705	63.6895	67
63.2725	63.6905	77
63.2725	63.6905	50
63.2735	63.6935	55
63.2735	63.6935	59
63.6945	63.8325	67
63.6945	63.8335	75
63.6965	63.8375	60
63.6965	63.8375	55
63.6975	63.8395	48
63.8405	65.6145	67
63.8405	65.6154	74
63.8415	65.6184	55
63.8445	65.6184	59
65.6215	66.1714	65
65.6224	66.0274	70
65.6224	66.1714	74
65.6254	66.0314	34
65.6264	66.0314	46
66.0274	66.1714	67
66.0274	66.1684	70
66.0314	66.1714	75
66.0314	66.1704	46
66.0314	66.1714	34
66.1674	66.7204	68
66.1684	66.7214	70
66.1684	66.7214	77
66.1704	66.7244	46
66.1714	66.7244	34
66.7204	67.2704	68
66.7214	67.2734	70
66.7214	67.2734	77
66.7244	67.2744	34
66.7244	67.2744	46
67.2704	67.8294	68
67.2734	67.8194	70
67.2734	67.8294	77
67.2744	67.8204	46
67.2744	67.8204	34
67.8154	68.3734	67
67.8194	68.2294	70
67.8204	68.3734	75
67.8204	68.2334	46
67.8204	68.2324	34
68.2254	68.3734	65
68.2294	68.3654	70
68.2324	68.3734	74
68.2324	68.3694	34
68.2334	68.3724	46
68.3654	69.3134	70
68.3694	69.3144	79
68.3694	68.9114	34
68.3724	68.9114	46
68.9014	69.0334	36
68.9014	69.0374	48
69.3154	69.4464	68
69.3184	69.4474	70
69.3184	69.4504	77
69.3184	69.4514	38
69.3214	69.4514	50
69.4534	70.0104	67
69.4544	70.0104	70
69.4544	70.0104	75
69.4574	70.0104	39
69.4584	70.0104	51
69.9994	70.5494	65
70.0004	70.4064	68
70.0004	70.5494	74
70.0034	70.4094	41
70.0044	70.4104	53
70.4054	70.5494	63
70.4064	70.5494	68
70.4064	70.5494	72
70.4094	70.5494	41
70.4104	70.5494	53
70.5464	71.1094	62
70.5464	71.0994	67
70.5474	71.1094	71
70.5474	71.1004	55
70.5494	71.1094	43
71.0954	71.6694	60
71.0994	71.5124	67
71.1004	71.6694	69
71.1004	71.5194	55
71.5124	71.6694	62
71.5124	71.6494	67
71.5154	71.6694	71
71.5194	71.6524	55
71.5194	71.6694	53
71.6484	72.2644	63
71.6494	72.2514	67
71.6494	72.2644	72
71.6514	72.2644	51
71.6524	72.2644	55
72.2514	72.6744	67
72.2514	72.8313	75
72.2544	72.6783	43
72.2544	72.6803	31
72.6733	72.8313	65
72.6744	72.8243	67
72.6774	72.8313	74
72.6783	72.8283	43
72.6803	72.8313	31
72.8243	74.6123	63
72.8243	74.6123	67
72.8283	74.6123	72
72.8283	74.6123	43
72.8313	74.6123	36
74.6063	75.1803	75
75.0273	75.1803	74
75.1733	76.9473	63
75.1733	76.9513	68
75.1743	76.9523	72
75.1773	76.9523	44
75.1773	76.9523	51
75.1773	76.9543	56
76.9553	77.0283	72
77.0283	77.5463	75
77.3883	77.5463	74
77.5393	79.3273	67
77.5423	79.3273	72
77.5433	79.3213	48
77.5433	79.3273	39
77.5453	79.3273	51
79.3203	79.8753	74
79.3213	79.8753	48
79.3243	79.8753	60
79.7233	79.8753	75
79.8703	80.4293	68
79.8733	80.4203	72
79.8733	80.4293	77
79.8743	80.4293	53
79.8743	80.4293	41
80.4163	80.9903	67
80.4203	80.9733	72
80.4203	80.9903	75
80.4213	80.9743	43
80.4223	80.9733	55
80.8293	80.9903	65
80.8333	80.9903	74
80.8333	80.9903	44
80.8363	80.9903	56
80.9693	81.5643	63
