OnsetTime	OffsetTime	MidiPitch
0.525982	1.79599	52
0.528986	1.79599	55
0.528986	1.16598	59
1.16598	1.47799	60
1.47799	1.79999	59
1.79999	2.75598	71
1.80298	3.08398	51
1.80298	3.08198	59
1.80298	3.08398	54
2.11799	3.08398	66
2.43299	3.08398	78
2.75598	3.08099	71
3.08099	4.35099	71
3.08099	4.35498	52
3.08198	4.03299	59
3.08398	4.35498	55
3.39199	4.35599	79
3.71399	4.33298	60
4.03299	4.35799	59
4.35799	5.31298	71
4.35898	5.63597	51
4.35898	5.63498	59
4.36199	5.63597	54
4.67297	5.63597	66
4.99197	5.63597	78
5.31298	5.63197	71
5.63197	6.90597	71
5.63498	6.90597	52
5.63498	6.58697	59
5.63597	6.90897	55
5.94697	6.90897	79
6.26897	6.85297	60
6.58697	6.90897	59
6.90997	7.88896	71
6.91297	8.20797	50
6.91397	8.20797	54
6.91397	8.20797	59
7.23797	8.20797	66
7.56696	8.20797	78
7.88896	8.20396	71
8.20396	9.52896	71
8.20496	9.56596	48
8.20496	9.56596	52
8.20797	9.19896	59
8.54697	9.56596	76
8.87596	9.56596	60
9.19896	9.53196	59
9.52896	10.53	71
9.53095	10.8749	47
9.53095	10.8789	51
9.53196	9.85295	59
9.85695	10.8789	66
10.186	10.6719	78
10.53	10.8799	71
10.8799	12.1529	71
10.8819	12.1559	52
10.8819	11.8339	59
10.8859	12.1559	55
11.1969	12.1569	83
11.5159	12.1099	60
11.8339	12.1599	59
12.1599	13.1149	71
12.1609	13.4409	51
12.1609	13.4409	54
12.1629	13.4379	59
12.4749	13.4409	66
12.7929	13.4409	78
13.1149	13.4339	71
13.4339	14.7079	71
13.4369	14.7079	52
13.4369	14.7109	55
13.4379	14.3889	59
13.7489	14.7109	79
14.0709	14.6509	60
14.3889	14.7119	59
14.7119	15.6669	71
14.7149	15.9879	51
14.7149	15.9879	54
14.7159	15.9879	59
15.0259	15.9879	66
15.3439	15.9879	78
15.6669	15.9809	71
15.9809	17.2619	71
15.9849	17.2659	52
15.9849	17.2659	55
15.9879	16.9379	59
16.2959	17.2659	79
16.6219	17.2659	60
16.9379	17.2629	59
17.2619	18.2389	71
17.2629	18.5639	54
17.2629	18.5619	59
17.2659	18.5639	50
17.5879	18.5639	66
17.9169	18.5639	78
18.2389	18.5609	71
18.5609	19.9089	71
18.5619	19.9089	52
18.5619	19.5799	59
18.5639	19.9119	48
18.9109	19.9119	76
19.2399	19.8659	60
19.5799	19.9129	59
19.9159	20.9589	71
19.9159	21.3429	51
19.9169	20.8079	59
19.9169	21.3439	47
20.2409	21.3469	66
20.5949	20.9619	78
20.9619	21.3479	71
21.3479	22.6589	80
21.3489	22.6599	71
21.3499	22.6629	76
21.3509	22.6639	83
21.3509	22.6639	40
21.3509	22.2469	47
22.0229	22.3409	49
22.3439	22.6659	47
22.6669	23.0089	71
22.6669	23.9649	83
22.6699	23.6459	78
22.6709	23.9659	75
22.6709	23.9689	69
22.6719	23.9719	40
22.6739	23.0099	47
23.0129	23.6509	80
23.0139	23.6509	56
23.6509	23.9729	78
23.6529	23.9729	54
23.9729	25.2319	68
23.9759	25.2319	71
23.9759	25.2319	76
23.9769	25.2349	40
23.9789	24.9179	47
24.6059	24.9729	49
24.9179	25.2359	47
25.2359	25.5779	59
25.2399	26.5369	57
25.2399	26.5379	63
25.2399	26.2189	66
25.2419	26.5379	71
25.2429	26.5419	40
25.2429	25.5829	47
25.5829	26.2199	68
25.5829	26.2229	56
26.2229	26.5419	66
26.2229	26.5439	54
26.5449	27.8249	56
26.5449	27.8259	59
26.5489	27.8289	64
26.5489	27.8299	40
26.5489	27.5149	47
27.1999	27.5909	49
27.5149	27.8329	47
27.8329	29.1899	63
27.8329	29.1939	59
27.8359	28.1929	54
27.8369	29.1949	47
27.8369	28.1939	42
28.1939	28.8539	56
28.1959	28.8549	44
28.8549	29.1949	54
28.8579	29.1949	42
29.1969	30.4679	52
29.1979	30.4689	58
29.1979	29.8339	61
29.2009	30.4689	42
29.8379	30.1489	63
30.1499	30.4709	61
30.4719	31.8789	51
30.4719	31.8819	59
30.4749	30.8279	30
30.4759	30.8289	42
30.8289	31.4999	32
30.8319	31.5039	44
31.5049	31.8819	30
31.5049	31.8829	42
31.8829	33.1379	71
31.8859	33.1389	80
31.8859	33.1389	76
31.8869	33.1419	83
31.8889	32.9739	28
31.8889	32.9739	40
32.5199	32.9739	49
32.8339	33.1419	47
33.1429	33.4879	71
33.1449	34.4439	83
33.1449	34.1249	78
33.1458	34.4469	75
33.1489	34.4479	69
33.1489	34.4479	40
33.1499	33.4889	47
33.4889	34.1259	80
33.4889	34.1259	56
34.1289	34.4509	78
34.1299	34.4509	54
34.4519	35.7109	68
34.4519	35.7119	71
34.4539	35.7119	76
34.4539	35.7139	40
34.4548	35.3989	47
35.0849	35.5639	49
35.3989	35.7149	47
35.7149	36.0569	59
35.7159	37.0159	57
35.7179	37.0169	63
35.7189	36.6979	66
35.7189	37.0169	71
35.7209	37.0199	40
35.7219	36.0619	47
36.0619	36.6989	68
36.0619	36.6989	56
36.6989	37.0209	66
36.7019	37.0209	54
37.0229	38.3039	56
37.0239	38.3049	59
37.0239	38.3079	64
37.0269	38.3089	40
37.0279	37.9939	47
37.6719	38.0839	49
37.9939	38.3089	47
38.3109	39.6769	63
38.3119	39.6779	59
38.3119	38.6718	54
38.3119	39.6779	47
38.3149	38.6729	42
38.6729	39.3368	56
38.6738	39.3379	44
39.3409	39.6779	54
39.3418	39.6799	42
