OnsetTime	OffsetTime	MidiPitch
0.518994	2.10798	62
0.518994	2.10798	58
1.32698	2.90597	55
2.09799	3.68597	63
2.09998	3.68597	60
2.90597	4.48297	55
3.67897	5.23397	62
3.67998	5.27097	58
4.48297	6.02099	55
5.23397	6.77297	62
5.23498	6.77398	57
5.23598	6.77398	60
6.02099	7.52197	55
6.77297	8.26097	62
6.77297	8.26097	58
7.51897	7.86797	67
7.52197	8.98897	55
7.86797	8.10396	67
7.98396	8.26097	69
8.10396	8.26097	67
8.22297	9.70196	66
8.22497	9.70196	60
8.22596	9.70196	63
8.98897	10.407	55
9.33197	9.70196	69
9.68797	11.197	67
9.68896	11.16	62
9.68896	11.197	58
10.046	11.197	70
10.407	11.197	74
10.407	11.9319	55
10.771	11.197	78
11.155	12.7019	79
11.1589	12.7019	60
11.1589	12.7019	57
11.16	12.6849	62
11.9319	13.4799	55
12.2969	12.7019	78
12.6839	14.0879	74
12.6849	13.4829	58
12.6849	13.4839	62
13.4799	14.1829	55
13.4829	14.1829	58
13.4839	14.1859	62
13.4859	13.8289	43
13.8289	14.0679	43
13.9509	14.0879	45
14.0679	14.1859	43
14.1859	15.6629	42
14.9379	15.6629	62
14.9389	15.6629	60
14.9389	15.6629	57
15.2859	15.6629	45
15.6559	17.1439	43
16.0059	17.1439	46
16.3599	17.1439	62
16.3609	17.1439	58
16.3609	17.1439	50
16.7239	17.1779	54
17.1119	18.6519	55
17.8849	18.6519	62
17.8859	18.6519	57
17.8889	18.6519	60
18.2709	18.6519	54
18.6349	20.1249	50
19.3799	19.7339	67
19.3799	20.1249	62
19.3809	20.1249	55
19.3809	20.1249	58
19.7339	19.9659	67
19.8499	20.1249	69
19.9659	20.1249	67
20.0849	21.5749	66
20.0879	21.5749	48
20.8529	21.5749	54
20.8539	21.5749	62
20.8539	21.5749	57
21.1979	21.5749	69
21.5539	23.0339	67
21.5549	23.0339	46
21.9109	23.0339	70
22.2709	23.0339	74
22.2749	23.0339	62
22.2749	23.0339	58
22.2759	23.0339	55
22.6349	23.0339	78
23.0209	24.5709	79
23.0239	24.5709	47
23.7969	24.5709	59
23.7979	24.5709	55
23.8009	24.5709	62
24.1619	24.5669	77
24.5669	25.2879	77
24.5679	25.2889	48
24.9349	25.3509	54
25.2889	26.0549	67
25.2919	26.0559	75
25.2919	26.0559	72
25.2919	25.7289	55
25.6689	26.1179	60
26.0579	27.6199	74
26.0589	27.6199	65
26.8319	27.6149	72
26.8329	27.6199	67
26.8349	27.6159	55
26.8349	27.6199	60
27.2099	27.6199	63
27.6149	27.8889	72
27.6159	29.1069	58
27.6159	29.1069	55
27.6189	29.1079	62
27.9759	28.2559	66
28.3469	28.6299	67
28.3479	30.6609	50
28.7249	29.0159	69
29.1099	30.6619	60
29.1099	30.6619	70
29.1319	30.6679	66
29.8829	30.6579	62
30.2519	30.6619	69
30.6569	31.5849	67
30.6579	31.5849	62
30.6579	31.5849	58
30.6579	31.5849	43
30.6609	31.5849	50
31.4069	31.9629	74
31.9629	32.0329	74
32.0329	32.1089	75
32.1099	33.3809	74
32.1109	33.4919	66
32.1109	33.4929	63
32.7989	34.1749	58
33.1499	33.4929	69
33.4939	33.6639	70
33.4949	34.8429	65
33.4959	34.8429	62
33.8389	34.0069	73
34.1759	34.3429	74
34.1759	35.5149	58
34.5109	34.6828	75
34.8438	35.0048	77
34.8469	36.1868	63
34.8469	36.1908	60
35.1649	35.3439	78
35.5149	35.6799	82
35.5189	36.8248	58
35.8409	36.0148	81
36.1308	36.1938	81
36.1938	37.1989	84
36.1949	37.4719	65
36.1949	37.4719	62
36.8248	38.1119	58
37.1429	37.3908	82
37.4159	37.4749	82
37.4749	37.6289	86
37.4759	38.7599	62
37.4759	38.7609	72
37.4789	38.7629	66
37.7829	37.9479	81
38.0599	38.1119	82
38.1129	38.2739	86
38.1159	39.4109	58
38.4269	38.5919	81
38.7039	38.7639	81
38.7669	39.0749	86
38.7679	40.0899	62
38.7679	40.0899	70
38.7699	40.0899	67
39.0759	40.0899	79
39.4139	40.7349	58
39.7269	41.4089	82
40.0759	41.4089	60
40.0769	41.4089	63
40.3879	41.4089	78
40.7349	42.0739	58
41.0489	42.3889	81
41.3989	42.7709	62
41.7209	42.4139	74
42.0739	43.4429	58
42.4139	42.6239	79
42.6249	42.6969	74
42.6979	42.7749	75
42.7749	43.8729	74
42.7759	44.0839	66
42.7779	44.0869	63
43.4429	44.7419	58
43.7619	44.0869	69
44.0869	44.2409	70
44.0909	45.3789	62
44.0909	45.3789	65
44.4019	44.5729	73
44.7419	44.8949	74
44.7429	46.0159	58
45.0529	45.2169	75
45.3789	45.5389	77
45.3819	46.6559	60
45.3819	46.6559	63
45.6969	45.8609	78
46.0159	46.1799	82
46.0189	47.2969	58
46.3379	46.4979	81
46.6029	46.6599	81
46.6599	47.6709	84
46.6609	47.9339	62
46.6609	47.9369	65
47.2969	48.5849	58
47.6149	47.8529	82
47.8809	47.9369	78
47.9369	48.0909	82
47.9379	49.2389	66
47.9379	49.2429	72
47.9409	49.2429	62
48.2449	48.4129	78
48.5249	48.5849	78
48.5859	48.7419	82
48.5879	49.8869	58
48.8959	49.0639	78
49.1829	49.2439	78
49.2439	50.2609	81
49.2459	50.5269	62
49.2459	50.5309	67
49.2459	50.5239	70
49.5609	50.2609	74
49.8869	51.1709	58
50.2089	50.4459	79
50.4779	50.5309	74
50.5319	50.6839	70
50.5339	51.8289	50
50.5339	51.8289	54
50.5349	51.8299	60
50.8419	51.0099	69
51.1219	51.1749	74
51.1759	51.3279	70
51.1759	52.5219	46
51.4859	51.6609	69
51.7689	51.8329	74
51.8329	52.8339	69
51.8339	53.2149	58
51.8359	53.2149	50
51.8359	53.2189	55
52.1649	52.8579	67
52.5219	53.9019	46
52.8579	53.0639	62
53.0649	53.1419	62
53.1419	53.2189	63
53.2189	54.3629	62
53.2219	54.5869	51
53.2219	54.5879	54
53.9019	55.2239	46
54.2449	54.5879	57
54.5889	54.7409	58
54.5909	55.8609	53
54.5909	55.8639	50
54.9049	55.0629	61
55.2249	55.3819	62
55.2249	56.4869	46
55.5419	55.6999	63
55.8649	56.0189	65
55.8649	57.1279	51
55.8689	57.1279	48
56.1759	56.3339	66
56.4879	56.6519	70
56.4909	57.7859	46
56.8099	56.9699	69
57.0759	57.1289	69
57.1319	58.1669	72
57.1319	58.4329	53
57.1349	58.4339	50
57.7859	59.0919	46
58.1079	58.3529	70
58.3809	58.4379	70
58.4379	58.5869	74
58.4399	59.7389	54
58.4409	59.7419	60
58.4409	59.7429	50
58.7419	58.9159	69
59.0319	59.0919	70
59.0919	59.2449	74
59.0959	60.3939	46
59.3999	59.5669	69
59.6829	59.7429	69
59.7469	60.7749	74
59.7469	61.0439	50
59.7469	61.0489	55
59.7489	61.0489	58
60.0689	60.7749	62
60.3939	61.7129	46
60.7159	60.9679	67
60.9889	61.0509	62
61.0519	61.1989	67
61.0519	62.3989	52
61.0529	62.3999	57
61.3519	61.5349	61
61.6499	61.7159	62
61.7169	61.8709	67
61.7169	62.4019	45
62.0349	62.2209	61
62.3429	62.4029	62
62.4029	63.4559	67
62.4029	63.8619	50
62.7519	63.8619	57
63.1059	63.8629	38
63.4569	63.8659	66
63.8659	65.2369	58
63.8689	65.2379	55
64.2049	64.4159	62
64.3109	64.5309	63
64.4159	64.5309	62
64.5199	65.1819	61
64.5199	65.2409	50
65.0599	65.2419	62
65.2419	65.3139	66
65.2449	66.5329	60
65.2449	66.5329	57
65.3949	65.4689	68
65.5459	65.6259	69
65.7059	65.7939	73
65.8709	66.5329	74
65.8709	66.5329	50
66.5319	67.8349	58
66.5329	67.8349	62
66.8509	67.0089	79
67.0089	67.1069	79
67.0619	67.1769	81
67.1069	67.1769	79
67.1589	67.8349	78
67.1629	67.8349	50
67.6639	67.8349	79
67.8319	69.1969	86
