OnsetTime	OffsetTime	MidiPitch
0.551986	2.029	50
0.617995	2.029	57
0.673986	1.868	62
0.733987	2.029	66
0.789992	2.029	74
1.48999	1.964	71
1.767	2.87701	52
1.81901	2.87701	55
1.868	2.878	62
1.91099	2.88	67
1.964	2.88	71
2.88	4.26301	54
2.93301	4.26301	57
2.988	4.16101	62
3.037	4.26301	69
3.086	4.26301	74
3.79	4.25601	71
4.059	5.32601	55
4.10502	5.32601	59
4.16101	5.32601	62
4.20702	5.32601	67
4.25601	5.32601	71
5.29501	6.40102	66
5.299	6.40102	76
5.299	6.40102	60
5.299	6.40102	57
6.01601	6.383	74
6.38101	7.462	67
6.383	7.462	74
6.38401	7.46501	59
6.38401	7.46501	62
7.46501	8.54299	70
7.469	8.54299	79
7.469	8.54299	64
7.47	8.54299	61
7.81201	8.54299	78
8.168	8.54299	76
8.529	9.62798	69
8.53201	9.62798	67
8.533	9.62798	62
8.894	9.62098	66
9.25799	9.62798	64
9.62098	10.727	74
9.62098	10.724	66
9.62199	10.727	57
9.62199	10.727	50
9.98098	10.727	69
10.349	10.724	72
10.724	11.833	72
10.724	11.833	66
10.726	11.833	51
10.727	11.833	57
11.451	11.833	67
11.452	11.833	71
11.452	11.833	52
11.453	11.833	55
11.815	12.53	64
11.816	12.9	69
11.819	12.918	49
12.17	12.918	57
12.53	12.901	64
12.533	12.904	55
12.9	15.269	69
12.901	13.673	64
12.901	13.87	50
12.904	13.673	55
13.671	13.873	62
13.671	13.874	54
13.874	15.269	50
13.937	15.269	57
13.992	15.161	62
14.052	15.269	66
14.111	15.269	74
14.808	15.263	71
15.056	16.194	52
15.109	16.194	55
15.161	16.194	62
15.211	16.194	67
15.263	16.194	71
16.187	17.545	50
16.233	17.545	57
16.284	17.437	62
16.337	17.545	69
16.386	17.545	74
17.09	17.538	71
17.331	18.584	55
17.391	18.584	59
17.437	18.584	62
17.489	18.584	67
17.538	18.584	71
18.578	19.68	66
18.582	19.68	76
18.582	19.68	57
18.582	19.68	60
19.302	19.663	74
19.663	20.7439	74
19.666	20.7439	67
19.666	20.7479	62
19.667	20.7479	59
20.7479	21.8229	70
