OnsetTime	OffsetTime	MidiPitch
0.500004	0.767863	67
0.500004	0.767863	71
0.500004	1.55244	43
0.500004	1.55244	55
0.501117	0.767863	62
0.767863	1.03571	62
0.767863	1.03571	67
0.767863	1.03571	71
0.901786	1.03571	66
1.03571	1.55244	65
1.03571	1.30355	71
1.30355	1.55244	64
1.30355	1.57141	71
1.30355	1.57141	38
1.30355	1.57141	50
1.43748	1.57141	63
1.57141	1.97785	62
1.57141	1.83927	66
1.57141	1.83927	72
1.57141	2.11643	45
1.57141	2.11643	57
1.83927	2.11643	66
1.83927	2.11643	72
1.83927	2.11643	38
1.83927	2.11643	50
1.97785	2.11643	62
2.11643	2.38428	62
2.11643	2.38428	67
2.11643	2.38428	71
2.11643	3.20409	43
2.11643	3.20409	55
2.38428	2.64544	62
2.38428	2.64544	67
2.38428	2.65213	71
2.51821	2.65213	66
2.65213	3.20409	65
2.65213	2.91998	71
2.91998	3.20409	64
2.91998	3.20409	71
2.91998	3.20409	38
2.91998	3.20409	50
3.05571	3.20409	63
3.19144	3.61306	62
3.19144	3.46743	66
3.19144	3.46743	72
3.19144	3.68223	45
3.19144	3.68223	57
3.46743	3.68223	66
3.46743	3.75869	72
3.46743	3.75869	38
3.46743	3.75869	50
3.61306	3.75869	62
3.75869	5.42673	67
3.75869	5.42673	71
3.75869	5.27758	74
3.75869	5.43958	79
3.75869	4.86474	43
3.75869	5.43958	55
4.03647	4.26147	50
4.17284	4.3092	52
4.3092	4.44808	50
4.58697	4.72585	50
4.86474	5.43958	66
4.86474	5.43958	72
4.86474	5.43958	78
4.86474	5.42673	43
4.86474	5.43958	57
5.13997	5.43958	50
5.27758	5.43958	74
5.42673	5.7071	76
5.42673	7.1116	67
5.42673	7.1116	71
5.42673	6.53413	43
5.42673	7.1116	59
5.7071	5.8881	76
5.7071	5.93108	50
5.7976	5.93108	78
5.84285	5.97859	52
5.8881	5.97859	76
5.97859	7.1116	74
5.97859	6.11748	50
6.25636	6.39525	50
6.53413	7.1116	60
6.53413	7.1116	72
6.53413	7.1116	62
6.53413	7.1116	66
6.53413	6.96437	69
6.53413	7.1116	43
6.53413	7.1116	57
6.81715	7.1116	50
6.96437	7.1116	69
7.1116	7.63371	71
7.1116	7.97369	62
7.1116	7.97369	67
7.1116	8.25672	43
7.1116	8.73119	55
7.25464	7.63371	72
7.39768	7.68377	74
7.39768	7.63371	50
7.54073	7.68377	52
7.68377	8.73119	74
7.68377	7.82873	50
7.97369	8.1152	59
7.97369	8.1152	50
8.1152	8.40086	62
8.25672	8.545	60
8.25672	8.83328	43
8.25672	8.83328	54
8.40086	8.68914	62
8.545	8.73119	60
8.545	8.83328	50
8.68914	8.83328	62
8.83328	9.129	59
8.83328	10.0094	43
8.83328	10.5009	55
9.129	10.5009	59
9.129	9.37276	62
9.129	9.37276	50
9.27686	9.42428	64
9.27686	9.42428	52
9.42428	9.5686	62
9.42428	9.5686	50
9.5686	9.71292	64
9.71292	9.86116	67
9.71292	9.86116	50
9.86116	10.2997	64
10.0094	10.6177	60
10.0094	10.5009	66
10.0094	10.6177	43
10.0094	10.6177	57
10.2997	10.5009	64
10.2997	10.6177	50
10.4529	10.6177	62
10.6177	12.2833	67
10.6177	12.2833	71
10.6177	12.1341	74
10.6177	12.324	79
10.6177	11.7224	43
10.6177	12.324	55
10.8966	11.1195	50
11.0317	11.1668	52
11.1668	11.3057	50
11.4446	11.5835	50
11.7224	12.324	66
11.7224	12.324	72
11.7224	12.324	78
11.7224	12.2833	43
11.7224	12.324	57
11.9972	12.324	50
12.1341	12.324	74
12.2833	12.5621	76
12.2833	13.8569	67
12.2833	13.8569	71
12.2833	13.388	43
12.2833	13.8569	59
12.5621	12.7423	76
12.5621	12.7851	50
12.6522	12.7851	78
12.6973	12.8324	52
12.7423	12.8324	76
12.8324	13.8569	74
12.8324	12.9713	50
13.1102	13.2491	50
13.388	13.8569	60
13.388	13.8569	72
13.388	13.8569	62
13.388	13.8569	66
13.388	13.8146	69
13.388	13.9595	43
13.388	13.9595	57
13.6697	13.9595	50
13.8146	13.9595	69
13.9595	14.4816	71
13.9595	14.8216	62
13.9595	14.8216	67
13.9595	15.1047	43
13.9595	15.5791	55
14.1026	14.4816	72
14.2456	14.5317	74
14.2456	14.4816	50
14.3887	14.5317	52
14.5317	15.5791	74
14.5317	14.6767	50
14.8216	15.0386	59
14.8216	15.0386	50
14.9631	15.2488	62
15.1047	15.3929	60
15.1047	15.6812	43
15.1047	15.6812	54
15.2488	15.5371	62
15.3929	15.5791	60
15.3929	15.6812	50
15.5371	15.6812	62
15.6812	15.9769	59
15.6812	16.8574	43
15.6812	17.3394	55
15.9769	17.3394	59
15.9769	16.2207	62
15.9769	16.2207	50
16.1248	16.2722	64
16.1248	16.2722	52
16.2722	16.4165	62
16.2722	16.4165	50
16.4165	16.5609	64
16.5609	16.7091	67
16.5609	16.7091	50
16.7091	17.1477	64
16.8574	17.4478	60
16.8574	17.3394	66
16.8574	17.4478	43
16.8574	17.4478	57
17.1477	17.3394	64
17.1477	17.4478	50
17.2947	17.4478	62
17.4478	18.5565	67
17.4478	18.5565	74
17.4478	18.5565	79
17.4478	18.5565	43
17.4478	18.5565	58
17.7295	17.9534	50
17.8652	18.0009	51
18.0009	18.1398	50
18.2787	18.4176	50
18.5565	19.1166	65
18.5565	19.1166	69
18.5565	19.1166	77
18.5565	19.1166	41
18.5565	19.1166	63
18.8305	19.1166	53
18.9674	19.1166	72
19.1166	19.3954	74
19.1166	20.2187	65
19.1166	20.8015	70
19.1166	20.2187	46
19.1166	20.8015	62
19.3954	19.6184	74
19.3954	19.6184	53
19.5306	19.6657	75
19.5306	19.6657	55
19.6657	20.8015	77
19.6657	19.804	53
19.9422	20.0805	53
20.2187	20.8015	75
20.2187	20.8015	65
20.2187	20.8015	69
20.2187	20.8015	46
20.2187	20.8015	63
20.507	20.8015	53
20.6543	20.8015	72
20.8015	21.078	74
20.8015	22.3598	70
20.8015	22.3598	65
20.8015	21.8951	46
20.8015	22.3598	62
20.9397	21.2162	75
21.078	21.3061	74
21.078	21.3061	53
21.2162	21.3545	75
21.2162	21.3545	55
21.3545	21.4909	77
21.3545	21.4909	53
21.4909	21.6272	79
21.6272	21.7612	81
21.6272	21.7612	53
21.7612	22.3598	79
21.8951	22.4606	69
21.8951	22.3598	77
21.8951	22.4606	46
21.8951	22.4606	63
22.0361	22.3598	75
22.1772	22.3598	74
22.1772	22.4606	53
22.3183	22.4606	72
22.4606	22.7384	74
22.4606	24.1402	70
22.4606	24.1402	65
22.4606	23.5655	46
22.4606	24.1402	62
22.5995	22.8772	75
22.7384	22.9692	74
22.7384	22.9692	53
22.8772	23.0188	75
22.8772	23.0188	55
23.0188	23.1545	77
23.0188	23.1545	53
